longitude,latitude,id,street_count,type,neighbors,crime_count,stores_count
-123.2247581,49.27476,1,2,Junction,"[(24, 774.7263166, 7756), (5, 347.1479463, 7851)]",1,0
-123.2208917,49.27116799,4,4,Junction,"[(5, 445.3076787, 1720), (6, 265.0581923, 2145), (22, 436.4823547, 7822)]",0,0
-123.2205669,49.27383219,5,3,Junction,"[(4, 445.3076787, 1720), (23, 442.2354413, 7761), (1, 347.1479463, 7851)]",2,0
-123.2196133,49.26895668,6,3,Junction,"[(4, 265.0581923, 2145), (7, 195.2630168, 2785), (20, 336.071241, 7823)]",1,0
-123.2195723,49.26720284,7,2,Junction,"[(6, 195.2630168, 2785), (18, 328.4182499, 7824)]",0,0
-123.2153964,49.2583821,8,2,Junction,"[(9, 110.6950032, 5316), (29, 223.5496613, 7742)]",1,2
-123.2153603,49.25937754,9,3,Junction,"[(10, 100.6839068, 5143), (8, 110.6950032, 5316), (30, 223.5576821, 7741)]",1,0
-123.2153278,49.26028296,10,3,Junction,"[(11, 100.5858371, 4725), (9, 100.6839068, 5143), (31, 223.7076711, 7740)]",1,0
-123.2152949,49.26118749,11,3,Junction,"[(12, 100.5355153, 4501), (10, 100.5858371, 4725), (32, 223.7276842, 7739)]",3,0
-123.2152621,49.26209157,12,3,Junction,"[(13, 100.5319654, 4285), (11, 100.5355153, 4501), (33, 223.6557723, 7738)]",0,0
-123.2152295,49.26299562,13,3,Junction,"[(14, 102.6384139, 4097), (12, 100.5319654, 4285), (34, 223.597737, 7737)]",0,0
-123.215196,49.26391861,14,3,Junction,"[(15, 98.31930961, 3902), (13, 102.6384139, 4097), (35, 223.5721647, 7736)]",1,3
-123.2151642,49.26480277,15,3,Junction,"[(16, 97.21157564, 3701), (14, 98.31930961, 3902), (36, 223.6107204, 7751)]",3,2
-123.2151333,49.26567697,16,3,Junction,"[(17, 93.90349163, 3504), (15, 97.21157564, 3701), (37, 223.7175669, 7750)]",1,0
-123.2151021,49.2665214,17,3,Junction,"[(18, 94.90823369, 3268), (16, 93.90349163, 3504), (38, 223.6429441, 7749)]",0,0
-123.2150712,49.26737487,18,4,Junction,"[(19, 94.72200849, 3045), (17, 94.90823369, 3268), (39, 223.6857617, 7748), (7, 328.4182499, 7824)]",0,0
-123.21504,49.26822667,19,3,Junction,"[(20, 96.91955167, 2829), (18, 94.72200849, 3045), (40, 223.6479775, 7747)]",2,1
