Geom,Geo Local Area,id,address,category,name,latitude,longitude,junction_id,junction_dst
"{""coordinates"": [-123.11400985419304, 49.28500059925005], ""type"": ""Point""}",Downtown,1,688 W Hastings St,Independent School,Alexander Academy,49.2850005993,-123.114009854,2725,35.408541652770616
"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}",South Cambie,2,5025 Willow St,Public School,BC Children's Adol. Psych. Unit,49.2396309611,-123.12579096,2360,157.47780391469107
"{""coordinates"": [-123.07192309841, 49.27523599085204], ""type"": ""Point""}",Grandview-Woodland,3,1001 Cotton Drive,Public School,Britannia Community Secondary,49.2752359909,-123.071923098,4491,146.6592443052216
"{""coordinates"": [-123.03582905, 49.219380799067466], ""type"": ""Point""}",Killarney,4,3340 E 54th Av,Public School,Captain James Cook Elementary,49.2193807991,-123.03582905,6081,89.42946946662005
"{""coordinates"": [-123.03582905, 49.219380799067466], ""type"": ""Point""}",Killarney,5,3340 E 54th Av,StrongStart BC,Captain James Cook StrongStart Centre,49.2193807991,-123.03582905,6081,89.42946946662005
"{""coordinates"": [-123.05058984, 49.26788631306769], ""type"": ""Point""}",Hastings-Sunrise,6,2684 E 2nd Av,StrongStart BC,Chief Maquinna StrongStart Centre,49.2678863131,-123.05058984,5521,87.91430210370198
"{""coordinates"": [-123.0483494372457, 49.25235796846878], ""type"": ""Point""}",Renfrew-Collingwood,7,3575 Kaslo St,Independent School,Children's Hearing and Speech Centre BC,49.2523579685,-123.048349437,5503,88.6872772743588
"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}",Renfrew-Collingwood,8,3417 Euclid Av,Public School,Collingwood Neighbourhood School,49.2363485991,-123.032313,6150,94.62787303199698
"{""coordinates"": [-123.07063159999998, 49.220439256067465], ""type"": ""Point""}",Victoria-Fraserview,9,1755 E 55th Av,Public School,David Thompson Secondary,49.2204392561,-123.0706316,4594,107.05126760715315
"{""coordinates"": [-123.03951720287967, 49.27964048422215], ""type"": ""Point""}",Hastings-Sunrise,10,555 Lillooet St,Public School,Dr A R Lord Elementary,49.2796404842,-123.039517203,5954,80.47664292895129
"{""coordinates"": [-123.12100426, 49.22690693506749], ""type"": ""Point""}",Oakridge,11,6350 Tisdall St,Public School,Dr Annie B Jamieson Elementary,49.2269069351,-123.12100426,2421,64.95468681806203
"{""coordinates"": [-123.19253813000002, 49.25956780506763], ""type"": ""Point""}",West Point Grey,12,3050 Crown St,Public School,Ecole Jules Quesnel Elementary,49.2595678051,-123.19253813,204,115.35463783754687
"{""coordinates"": [-123.122482, 49.27223799906772], ""type"": ""Point""}",Downtown,13,150 Drake St,Public School,Elsie Roy Elementary,49.2722379991,-123.122482,2440,85.43625029258551
"{""coordinates"": [-123.12609640999999, 49.2500416520676], ""type"": ""Point""}",South Cambie,14,4070 Oak St,Public School,Emily Carr Elementary,49.2500416521,-123.12609641,2299,105.06325421806929
"{""coordinates"": [-123.1982460233882, 49.267667982326586], ""type"": ""Point""}",West Point Grey,15,4196 W 4th Av,Independent School,Family Montessori School,49.2676679823,-123.198246023,149,157.92959759255487
"{""coordinates"": [-123.15727596082289, 49.26266070419338], ""type"": ""Point""}",Kitsilano,16,2294 W 10th Av,Independent School,Fraser Academy,49.2626607042,-123.157275961,1061,37.41604005312708
"{""coordinates"": [-123.05745595, 49.23673222606754], ""type"": ""Point""}",Renfrew-Collingwood,17,2330 E 37th Av,Public School,G T Cunningham Elementary,49.2367322261,-123.05745595,5138,75.14974474359103
"{""coordinates"": [-123.02567271, 49.24206908706756], ""type"": ""Point""}",Renfrew-Collingwood,18,3633 Tanner St,Public School,Graham Bruce Community Elementary,49.2420690871,-123.02567271,6488,77.0602910796538
"{""coordinates"": [-123.14935629, 49.2722458780677], ""type"": ""Point""}",Kitsilano,19,1551 Cypress St,Public School,Henry Hudson Elementary,49.2722458781,-123.14935629,1323,37.811145810552425
"{""coordinates"": [-123.09527169, 49.222569588067465], ""type"": ""Point""}",Sunset,20,451 E 53rd Av,Public School,John Henderson Elementary,49.2225695881,-123.09527169,3525,83.87255382920758
"{""coordinates"": [-123.0516408, 49.24142469506758], ""type"": ""Point""}",Renfrew-Collingwood,21,4710 Slocan St,Public School,John Norquay Elementary,49.2414246951,-123.0516408,5387,66.56540635496457
"{""coordinates"": [-123.1227909397854, 49.23344818232933], ""type"": ""Point""}",Oakridge,22,5718 Willow St,Independent School,King David High School,49.2334481823,-123.12279094,2390,46.52565004113322
"{""coordinates"": [-123.13644517, 49.28982415206781], ""type"": ""Point""}",West End,23,1755 Barclay St,Public School,King George Secondary,49.2898241521,-123.13644517,1767,83.98833502315581
"{""coordinates"": [-123.14226149913934, 49.24843134181949], ""type"": ""Point""}",Shaughnessy,24,4195 Alexandra St,Independent School,Little Flower Academy,49.2484313418,-123.142261499,1588,55.317753834814326
"{""coordinates"": [-123.05269627000001, 49.2521383750676], ""type"": ""Point""}",Renfrew-Collingwood,25,3663 Penticton St,Public School,Lord Beaconsfield Elementary,49.2521383751,-123.05269627,5400,45.25474031112228
"{""coordinates"": [-123.18024556263893, 49.250581806373596], ""type"": ""Point""}",Dunbar-Southlands,26,3455 W King Edward Av,Public School,Lord Kitchener Elementary,49.2505818064,-123.180245563,465,127.67078296021444
"{""coordinates"": [-123.12980600999998, 49.283091710067765], ""type"": ""Point""}",West End,27,1150 Nelson St,Public School,Lord Roberts Annex,49.2830917101,-123.12980601,2082,92.02567950253082
"{""coordinates"": [-123.07246012, 49.24532077406758], ""type"": ""Point""}",Kensington-Cedar Cottage,28,4444 Dumfries St,Public School,Lord Selkirk Annex,49.2453207741,-123.07246012,4407,72.36841183837927
"{""coordinates"": [-123.16601055529476, 49.263528260800655], ""type"": ""Point""}",Kitsilano,29,2678 W Broadway,Independent School,Madrona School,49.2635282608,-123.166010555,846,43.940103866319284
"{""coordinates"": [-123.09399954, 49.26396573206767], ""type"": ""Point""}",Mount Pleasant,30,2300 Guelph St,StrongStart BC,Mount Pleasant StrongStart Centre,49.2639657321,-123.09399954,3506,77.93974195482421
"{""coordinates"": [-123.19617943097614, 49.264135070670505], ""type"": ""Point""}",West Point Grey,31,2550 Camosun St,Independent School,Our Lady of Perpetual Help,49.2641350707,-123.196179431,196,62.855267756245055
