Unit,id,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
N/A,2286,487,DAVIE ST,Sage Clinic,Service Commercial,49.27598491212113,-123.12353112288253,2330,51.50719464085642
N/A,2994,3455,FRASER ST,Jethro's Fine Grub,Food & Beverage,49.25410902369566,-123.09041371120979,3692,55.27054076705466
N/A,2996,3461,FRASER ST,Wonder Meatball,Food & Beverage,49.25410902369566,-123.09041371120979,3692,55.27054076705466
N/A,3152,307,CAMBIE ST,Ollie Quinn,Comparison Goods,49.2835017466451,-123.10964715253762,2899,38.052744793511955
N/A,5654,136,E BROADWAY,Chicha Peruvian Cuisine,Food & Beverage,49.26266850503055,-123.10219267337112,3114,63.19891633857909
N/A,5659,144,E BROADWAY,Billy Button Dessert Bar,Convenience Goods,49.262681083023,-123.10178812710649,3227,66.23423881655552
N/A,5661,146,E BROADWAY,Banana Tans,Service Commercial,49.262681083023,-123.10178812710649,3227,66.23423881655552
N/A,5892,2448,MAIN ST,The Main Smoke Shop,Convenience Goods,49.26323469522129,-123.10058801277808,3227,44.59286900342719
N/A,5897,2509,MAIN ST,Vendura,Food & Beverage,49.262592810459694,-123.10144640420094,3227,50.55431193266367
N/A,5898,2511,MAIN ST,Noodle Box,Food & Beverage,49.262592810459694,-123.10144640420094,3227,50.55431193266367
N/A,6500,1165,ROBSON ST,Freddy Pant Room,Comparison Goods,49.28591704035402,-123.12623627975452,2217,53.58722182295661
N/A,7317,5618,VICTORIA DRIVE,Benton Jewellers,Comparison Goods,49.23368564239152,-123.06508606430488,4770,38.54348781469187
N/A,5,3215,MACDONALD ST,RE/MAX Crest Realty,Service Commercial,49.25733637601611,-123.16876498179194,778,40.059021349568894
N/A,7,2585,W 16TH AV,SpaHaven,Service Commercial,49.25780939586261,-123.16459365256796,879,31.009483436160547
N/A,9,2591,W 16TH AV,Arbutus Cleaners,Service Commercial,49.25780939586261,-123.16459365256796,879,31.009483436160547
N/A,10,2595,W 16TH AV,Insure B.C.,Service Commercial,49.25780939586261,-123.16459365256796,879,31.009483436160547
N/A,20,2803,W 16TH AV,Kix Tanning,Service Commercial,49.25802392217903,-123.16895316680299,775,57.33593164765443
N/A,21,2805,W 16TH AV,Wax Bar,Service Commercial,49.25802392217903,-123.16895316680299,775,57.33593164765443
N/A,22,2809,W 16TH AV,Arbutus West Animal Clinic,Service Commercial,49.25802392217903,-123.16895316680299,775,57.33593164765443
N/A,32,97,E 2ND AV,Brewhall,Food & Beverage,49.26951914791315,-123.10329368728506,3132,56.70050574197421
N/A,35,1739,MAIN ST,Shop Task Skates,Comparison Goods,49.26986165530509,-123.1010938412093,3244,42.98070822639448
N/A,49,1818,QUEBEC ST,Maple Leaf Self Storage,Service Commercial,49.26888327869511,-123.1020868375602,3132,55.8456642150657
N/A,64,97,W 2ND AV,Blenz Coffee False Creek,Food & Beverage,49.269571383146854,-123.10579978278014,2967,64.45158143753233
N/A,65,103,W 2ND AV,Bank of Montreal,Service Commercial,49.26959835193818,-123.10727840336108,2967,63.911755907180456
N/A,69,115,W 2ND AV,Bao Down,Food & Beverage,49.26959835193818,-123.10727840336108,2967,63.911755907180456
N/A,75,165,W 2ND AV,Ophelia,Food & Beverage,49.269622257621904,-123.10856882108384,2892,70.92442569833196
N/A,77,177,W 2ND AV,Silver 4 Salon Inc,Service Commercial,49.269622257621904,-123.10856882108384,2892,70.92442569833196
N/A,99,422,W 2ND AV,Balconi Floral Design Studio Inc,Convenience Goods,49.26709305146482,-123.1132322692058,2749,47.470512180391815
