COUNT;Geo Local Area;Geom;geo_point_2d
13;Strathcona;"{""coordinates"": [-123.098740402526, 49.2809460559638], ""type"": ""Point""}";49.2809460559638, -123.098740402526
3;Downtown;"{""coordinates"": [-123.114030011941, 49.2830027140801], ""type"": ""Point""}";49.2830027140801, -123.114030011941
1;Dunbar-Southlands;"{""coordinates"": [-123.181699269409, 49.2420755387246], ""type"": ""Point""}";49.2420755387246, -123.181699269409
2;Kitsilano;"{""coordinates"": [-123.146116514792, 49.2682793854919], ""type"": ""Point""}";49.2682793854919, -123.146116514792
3;Sunset;"{""coordinates"": [-123.090292899914, 49.2279445139151], ""type"": ""Point""}";49.2279445139151, -123.090292899914
3;Strathcona;"{""coordinates"": [-123.098501757587, 49.2791877019706], ""type"": ""Point""}";49.2791877019706, -123.098501757587
7;Strathcona;"{""coordinates"": [-123.099346861577, 49.2715743514744], ""type"": ""Point""}";49.2715743514744, -123.099346861577
3;Kensington-Cedar Cottage;"{""coordinates"": [-123.078287617007, 49.251024712975], ""type"": ""Point""}";49.251024712975, -123.078287617007
11;Downtown;"{""coordinates"": [-123.125358667433, 49.2781014691858], ""type"": ""Point""}";49.2781014691858, -123.125358667433
3;Downtown;"{""coordinates"": [-123.103557536527, 49.2807050501541], ""type"": ""Point""}";49.2807050501541, -123.103557536527
3;Downtown;"{""coordinates"": [-123.10365583813, 49.2807085510905], ""type"": ""Point""}";49.2807085510905, -123.10365583813
4;Grandview-Woodland;"{""coordinates"": [-123.06743406525, 49.2809007341293], ""type"": ""Point""}";49.2809007341293, -123.06743406525
4;Grandview-Woodland;"{""coordinates"": [-123.067232783362, 49.2809078676575], ""type"": ""Point""}";49.2809078676575, -123.067232783362
2;Fairview;"{""coordinates"": [-123.14070441827, 49.266467785809], ""type"": ""Point""}";49.266467785809, -123.14070441827
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.066539780038, 49.2535717873363], ""type"": ""Point""}";49.2535717873363, -123.066539780038
5;Kitsilano;"{""coordinates"": [-123.153091121372, 49.2678731357839], ""type"": ""Point""}";49.2678731357839, -123.153091121372
5;Kitsilano;"{""coordinates"": [-123.153008648237, 49.2678736947888], ""type"": ""Point""}";49.2678736947888, -123.153008648237
5;Kitsilano;"{""coordinates"": [-123.153196280569, 49.2678743456837], ""type"": ""Point""}";49.2678743456837, -123.153196280569
2;West End;"{""coordinates"": [-123.126254345021, 49.2859087403969], ""type"": ""Point""}";49.2859087403969, -123.126254345021
2;Kitsilano;"{""coordinates"": [-123.171421953992, 49.263860529664], ""type"": ""Point""}";49.263860529664, -123.171421953992
