id,patrol_id,lat,long,datetime,title,description,likelihood_of_crime,type_of_crime_most_feared,type_of_crime_other
440,Patrol object (143),49.266543500,-123.070160500,2021-08-01 03:40:28.557303+00:00,Commercial Drive Saturday evening,"Commercial Drive on a busy Sat.evening
Busy streets, 
Garbage,litter
Grafiti
Public drinking
Restaurant drinking",4,2,
439,Patrol object (143),49.264210900,-123.068943700,2021-08-01 03:20:31.217977+00:00,East 7th & Commercial,"Residential St, by laneway and Commercial
Cars with items left inside - possible theft from auto opportunity
Barbwire fence on ministry building,
People from condo cheering
Litter
Outside seating for business",4,3,
438,Patrol object (143),49.266405500,-123.069496600,2021-08-01 02:58:47.846203+00:00,Commercial and McSpadden,"Grafiti on wall and sidewalk, very drunk person",4,2,
437,Patrol object (143),49.270444500,-123.066975400,2021-08-01 02:46:45.456400+00:00,Gravely Street,"Graffiti on garage, minor amounts of litter",4,2,
436,Patrol object (143),49.270843100,-123.069704800,2021-08-01 02:41:46.412550+00:00,Front of liquor store,"Public drinking in several groups, large amount of debris on ground. Physical confrontation between two individuals. graffiti on wall",5,2,
435,Patrol object (141),49.267203600,-123.069823300,2021-07-30 18:30:51.341348+00:00,GWCPC,In the cpc,2,2,
434,Patrol object (141),49.267203600,-123.069823300,2021-07-30 18:30:51.156443+00:00,GWCPC,In the cpc,2,2,
433,Patrol object (141),49.266445700,-123.072269600,2021-07-30 18:22:49.481703+00:00,"Garbage, constuction","Lots of garbage on the ground, gravel dirt",2,2,
432,Patrol object (141),49.266167600,-123.070207700,2021-07-30 18:18:55.307718+00:00,Grafiti,"Grafiti on bins, and on walls, smells of urine",2,2,
431,Patrol object (141),49.263982300,-123.070177400,2021-07-30 18:14:32.774745+00:00,Grafiti on garbage bins,"Grafiti on walls, garbage bin, bike lane hazard",2,2,
430,Patrol object (141),49.263369200,-123.068160000,2021-07-30 18:09:39.210600+00:00,"Shady Area, grafiti on pole","Shady Area, grafiti on pole",1,2,
429,Patrol object (141),49.264774400,-123.065992400,2021-07-30 18:04:17.714229+00:00,Quiet Neighborhood,Nothing,1,2,
428,Patrol object (141),49.269870900,-123.065876000,2021-07-30 17:53:18.035314+00:00,Construction,"New house being build, traffic",1,5,Traffic- speeding
427,Patrol object (141),49.271945800,-123.065713600,2021-07-30 17:49:12.253265+00:00,Victoria Park,"Garbage on ground, homeless person picking up cans, kids playing on playground, grafiti on sign",2,2,
426,Patrol object (141),49.274338600,-123.068851200,2021-07-30 17:38:41.943776+00:00,Grafiti in Alley,"Lots of grafiti on garbage bins and wooden poles and buildings, overflowing garbage",3,1,
425,Patrol object (141),49.276350600,-123.069418100,2021-07-30 17:34:15.153543+00:00,Stickers on Poles,"Construction, people eating food, lots of traffic",3,2,
424,Patrol object (141),49.275022700,-123.070141100,2021-07-30 17:29:44.870582+00:00,Grafiti on Trash Bins,"Grafiti on Trash Bins, garbage on ground, old male yelling",3,2,
423,Patrol object (141),49.273464100,-123.070195500,2021-07-30 17:25:29.496234+00:00,Garbage and Homeless People,"Grandview park, lots of homeless people, garbage and clothes on ground and benches, grafiti on ground",4,2,
422,Patrol object (141),49.271457500,-123.069801100,2021-07-30 17:20:23.845856+00:00,Dirty walls,"Walls are dirty, people sitting outside",1,2,
421,Patrol object (141),49.268913800,-123.069813900,2021-07-30 17:14:55.444257+00:00,Grafiti,"Lot of people, traffic, grafiti on walls",3,2,
420,Patrol object (140),49.267196000,-123.069606400,2021-07-30 00:54:53.786080+00:00,GWCPC,"Busy street, graffiti, homeless population",5,4,
419,Patrol object (140),49.266991100,-123.062500800,2021-07-30 00:47:05.145150+00:00,2051 East 4th,Open doors and windows,3,3,
418,Patrol object (140),49.266910800,-123.059873600,2021-07-30 00:43:51.694987+00:00,East 4th and Templeton,"Construction, run down property, car on grass",4,3,
417,Patrol object (140),49.271085600,-123.058013200,2021-07-30 00:34:10.843552+00:00,Grant and Garden,"Graffiti, construction",2,3,
416,Patrol object (140),49.272742200,-123.058100600,2021-07-30 00:29:45.001592+00:00,Charles and Garden,"Construction, graffiti, large school",4,2,
415,Patrol object (140),49.272129600,-123.060287600,2021-07-30 00:19:52.234114+00:00,Templeton and Kitchener,"Grafiti, construction, overgrown grass, fenced off playgrounds",4,2,
414,Patrol object (140),49.270347300,-123.063590300,2021-07-29 23:59:02.621608+00:00,Gravely and Semlin,"Graffiti, open doors, damages vehicle",2,3,
413,Patrol object (140),49.270395000,-123.060227500,2021-07-29 23:46:41.586014+00:00,Gravely and Templeton,"Construction, Graffiti, damaged vehicle",3,2,
412,Patrol object (140),49.270311400,-123.057604700,2021-07-29 23:42:06.628755+00:00,2303 Gravely,"Traffic, construction",2,1,
411,Patrol object (140),49.268684900,-123.059057500,2021-07-29 23:32:14.140212+00:00,Garden Park,"Graffiti, litter, construction, open doors",3,3,
410,Patrol object (140),49.268656400,-123.061616200,2021-07-29 23:28:15.058940+00:00,East second Lakewood Drive,"Vandalism, open windows",1,3,
409,Patrol object (140),49.268775300,-123.064583900,2021-07-29 23:24:28.055838+00:00,1949 East Second,Construction,1,1,
408,Patrol object (140),49.267134600,-123.066620000,2021-07-29 23:15:07.014620+00:00,McSpadden Park,"Graffiti, broken fence, deteriorating infrastructure",5,2,
407,Patrol object (139),49.281204900,-123.132286400,2021-07-28 23:02:05.216014+00:00,1139 Davie,"Many parked cars on the street, theft of and from auto can occur",3,1,
406,Patrol object (139),49.280097200,-123.127975900,2021-07-28 22:58:27.414306+00:00,St Paul's,Alot people around.,3,5,"Public use of substances, dumping, encampments"
405,Patrol object (139),49.282787500,-123.124953600,2021-07-28 22:54:23.659725+00:00,Smithe and Burrard,Busy intersection,1,1,
404,Patrol object (139),49.284304300,-123.121613500,2021-07-28 22:50:52.269975+00:00,Burrard and west georgia,Bussy intersection crime is unlikely. Most likely would be theft from auto.,1,1,
403,Patrol object (139),49.284304300,-123.121613500,2021-07-28 22:50:49.253744+00:00,Burrard and west georgia,Bussy intersection crime is unlikely. Most likely would be theft from auto.,1,1,
402,Patrol object (139),49.284304300,-123.121613500,2021-07-28 22:50:49.215661+00:00,Burrard and west georgia,Bussy intersection crime is unlikely. Most likely would be theft from auto.,1,1,
401,Patrol object (139),49.284304300,-123.121613500,2021-07-28 22:50:49.198128+00:00,Burrard and west georgia,Bussy intersection crime is unlikely. Most likely would be theft from auto.,1,1,
400,Patrol object (139),49.286028700,-123.118289400,2021-07-28 22:46:47.872421+00:00,505 Burrard,"Alot of traffic on Burrard, most likely crime would be theft from and of auto.",1,1,
399,Patrol object (139),49.289051100,-123.117288200,2021-07-28 22:42:48.558595+00:00,1055 West Hastings Street,"Many cars parked out on the street, large amount of traffic most likely crime WOD be theft of and from auto at night.",2,1,
398,Patrol object (139),49.288909700,-123.122829300,2021-07-28 22:38:47.603166+00:00,Hastings and bute,Thefts and break ins can occur at night,1,1,
397,Patrol object (139),49.289267600,-123.125983300,2021-07-28 22:33:18.528041+00:00,Harbour side park,"Alot of traffic, but at night theft from and of auto can occur",2,1,
396,Patrol object (139),49.292181900,-123.131590200,2021-07-28 22:19:55.515128+00:00,Mariana Square park,Can be secluded at night so assault or theft of auto and from auto can occur at night.,2,1,
395,Patrol object (139),49.293064900,-123.128626900,2021-07-28 22:15:17.689611+00:00,Bayshore marina,Can be secluded at night. Assault and theft or robbery could happen,3,4,
394,Patrol object (139),49.291420500,-123.127984500,2021-07-28 22:10:42.832872+00:00,Cardero's,"Many parked cars, most likely crime would be theft from auto or theft of auto.",3,1,
393,Patrol object (139),49.291015200,-123.123752400,2021-07-28 22:07:08.031358+00:00,Coal harbour seawall walkway,Unlikely for crime in the day but at night assaults or theft can occur due to less people being around,3,4,
392,Patrol object (139),49.287028000,-123.117272000,2021-07-28 21:55:46.368913+00:00,West Hastings and Burrard,Most likely would be theft from auto due to cars parked out on the street,2,1,
391,Patrol object (139),49.285385500,-123.120303500,2021-07-28 21:50:24.859988+00:00,"Burrard station, public use of substance",Crimes such as use of substances theft or assault at night can occur in and around the station,3,5,Using of restricted substances
390,Patrol object (139),49.284060100,-123.121681900,2021-07-28 21:44:41.142568+00:00,755 Burrard,"Unlikely for crime, too much traffic. Most likely would be theft from auto due to cars parked on the street",1,1,
389,Patrol object (139),49.282077000,-123.124532500,2021-07-28 21:40:29.579608+00:00,Burrard and Barclay,"Alot of Traffic and pedestrians even at night. Crime unlikely. If it does occur, would be theft from auto or possible assault at night",1,1,
388,Patrol object (139),49.279255200,-123.129222700,2021-07-28 21:36:23.945534+00:00,Burrard and davie,"Community garden, crime unlikely. Theft and possible assault may occur.",1,1,
387,Patrol object (139),49.280354700,-123.130802300,2021-07-28 21:25:38.626167+00:00,Davie and Thurlow,"Crime unlikely, however assaults and thefts and break-ins can happen at night",2,1,
386,Patrol object (136),49.283262200,-123.132446900,2021-07-28 19:35:16.364052+00:00,Nothing,Nothing,3,3,
385,Patrol object (136),49.285959000,-123.135411600,2021-07-28 19:26:15.556953+00:00,Nothing,Nothing,1,3,
384,Patrol object (136),49.290201700,-123.133423500,2021-07-28 19:07:21.519383+00:00,Nothing,Nothing,2,3,
383,Patrol object (136),49.287727800,-123.129957300,2021-07-28 18:58:56.472553+00:00,Nothing,Nothing,2,3,
