id,type,street_count,longitude,latitude,neighbors,crime_count,stores_count,transit_count,rapid_transit_count,schools_count,retail_count,crime_reach,store_reach,transit_reach,rapid_transit_reach,schools_reach,retail_reach
1,Junction,2,-123.2247581,49.27476,"[(24, 774.7263166, 7756), (5, 347.1479463, 7851)]",1,0,0,0,0,0,0.0005907069323782047,0.0,0.0,0.0,0.0,0.0
4,Junction,4,-123.2208917,49.27116799,"[(5, 445.3076787, 1720), (6, 265.0581923, 2145), (22, 436.4823547, 7822)]",0,0,0,0,0,0,8.289734081633894e-05,0.0,0.012405010435061483,0.0,0.0,0.00014048548480703708
5,Junction,3,-123.2205669,49.27383219,"[(4, 445.3076787, 1720), (23, 442.2354413, 7761), (1, 347.1479463, 7851)]",2,0,0,0,0,0,0.0011332236907817485,0.0,0.00851780573560958,0.0,0.0,0.0002757339630337616
6,Junction,3,-123.2196133,49.26895668,"[(4, 265.0581923, 2145), (7, 195.2630168, 2785), (20, 336.071241, 7823)]",1,0,0,0,0,0,0.0006293109242360848,0.0,0.03857528687231064,0.0,0.0,0.0
7,Junction,2,-123.2195723,49.26720284,"[(6, 195.2630168, 2785), (18, 328.4182499, 7824)]",0,0,0,0,0,0,0.00019389139910992693,0.0012104281477983232,0.0440345489052885,0.0,0.0,0.0002636950943637327
8,Junction,2,-123.2153964,49.2583821,"[(9, 110.6950032, 5316), (29, 223.5496613, 7742)]",1,0,2,0,0,0,0.0014338501971366939,0.002066322433370914,0.08964082753758482,0.0,0.0,0.0004501540137221154
9,Junction,3,-123.2153603,49.25937754,"[(10, 100.6839068, 5143), (8, 110.6950032, 5316), (30, 223.5576821, 7741)]",1,0,0,0,0,0,0.002540103714280355,0.010082341753785844,0.09772722223919035,0.0,0.0,0.0032024738880512627
10,Junction,3,-123.2153278,49.26028296,"[(11, 100.5858371, 4725), (9, 100.6839068, 5143), (31, 223.7076711, 7740)]",1,0,0,0,0,0,0.00307449911176238,0.016925739717730596,0.10678104597282988,0.0,0.0,0.005456756354936635
11,Junction,3,-123.2152949,49.26118749,"[(12, 100.5355153, 4501), (10, 100.5858371, 4725), (32, 223.7276842, 7739)]",3,0,0,0,0,0,0.0033504838799317932,0.03287418314177246,0.12042791179306346,0.0,0.0,0.011024160244485963
12,Junction,3,-123.2152621,49.26209157,"[(13, 100.5319654, 4285), (11, 100.5355153, 4501), (33, 223.6557723, 7738)]",0,0,0,0,0,0,0.002535201928719109,0.050806075254050446,0.1350141063588557,0.0,0.0,0.01727444640438387
13,Junction,3,-123.2152295,49.26299562,"[(14, 102.6384139, 4097), (12, 100.5319654, 4285), (34, 223.597737, 7737)]",0,0,0,0,0,0,0.002695978527196887,0.07555342025925739,0.15425144418856726,0.0,0.0,0.026440264749050126
14,Junction,3,-123.215196,49.26391861,"[(15, 98.31930961, 3902), (13, 102.6384139, 4097), (35, 223.5721647, 7736)]",1,0,3,0,0,0,0.003626501146730503,0.10578577836373991,0.1716820974460207,0.0,0.0,0.03761597145081521
15,Junction,3,-123.2151642,49.26480277,"[(16, 97.21157564, 3701), (14, 98.31930961, 3902), (36, 223.6107204, 7751)]",3,0,2,0,0,0,0.0034003011073725073,0.07671805889912449,0.1606742305228705,0.0,0.0,0.026866095480254686
16,Junction,3,-123.2151333,49.26567697,"[(17, 93.90349163, 3504), (15, 97.21157564, 3701), (37, 223.7175669, 7750)]",1,0,0,0,0,0,0.002512375779592078,0.05256771314905135,0.14659449997288954,0.0,0.0115342604251444,0.017893326380175677
17,Junction,3,-123.2151021,49.2665214,"[(18, 94.90823369, 3268), (16, 93.90349163, 3504), (38, 223.6429441, 7749)]",0,0,0,0,0,0,0.002059183835263496,0.03521547601058076,0.136545707454515,0.0,0.029071275278117127,0.011834832338829903
18,Junction,4,-123.2150712,49.26737487,"[(19, 94.72200849, 3045), (17, 94.90823369, 3268), (39, 223.6857617, 7748), (7, 328.4182499, 7824)]",0,0,0,0,0,0,0.0024805927748458747,0.018702047217079073,0.12407511441097553,0.0,0.04809792077649553,0.006176614614783789
19,Junction,3,-123.21504,49.26822667,"[(20, 96.91955167, 2829), (18, 94.72200849, 3045), (40, 223.6479775, 7747)]",2,0,1,0,0,0,0.0035183209631959836,0.011627724319056046,0.11790337297311071,0.0,0.05769598796355127,0.003926937661235431
20,Junction,4,-123.2150088,49.26909824,"[(21, 130.85239, 2373), (19, 96.91955167, 2829), (41, 223.6463764, 7746), (6, 336.071241, 7823)]",3,0,1,0,0,0,0.003935387508176495,0.0025402876375873185,0.11112814017176655,0.0,0.031285417006902225,0.0009077033297901825
21,Junction,3,-123.214966,49.27027494,"[(22, 128.6205853, 2181), (20, 130.85239, 2373), (42, 223.5926545, 7745)]",3,0,0,0,0,0,0.004349176792989436,0.0012529555786767966,0.08950576206034794,0.0,0.017259855959962763,0.0008919289403036986
22,Junction,4,-123.214924,49.27143158,"[(23, 130.9100982, 1958), (21, 128.6205853, 2181), (27, 111.7135732, 7744), (4, 436.4823547, 7822)]",2,0,0,0,0,0,0.0040189124834353355,0.0,0.07764303566817772,0.0,0.01278514584466469,0.0009650437423504366
23,Junction,4,-123.2148808,49.2726088,"[(24, 130.8636732, 1740), (22, 130.9100982, 1958), (27, 172.0808436, 7691), (5, 442.2354413, 7761)]",2,0,0,0,0,0,0.0037417462960490934,0.0,0.0750045152026385,0.0,0.008893895841904443,0.001363792267935307
24,Junction,5,-123.2148373,49.2737856,"[(25, 65.78279288, 1549), (23, 130.8636732, 1740), (43, 344.0830476, 7678), (28, 122.0821239, 7680), (1, 774.7263166, 7756)]",3,0,0,0,0,0,0.004501567807098058,0.0,0.0775290953066312,0.0,0.0,0.0017314264154838091
