TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,4,3,0,50,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2023,5,11,18,0,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2023,3,16,4,0,10XX BROUGHTON ST,West End,490263.0875,5459187.2024
Break and Enter Commercial,2023,3,17,15,23,10XX BUTE ST,West End,490419.2021,5458916.588
Break and Enter Commercial,2023,2,4,2,57,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2023,2,7,3,33,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2023,3,13,4,45,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2023,4,6,23,29,10XX CARDERO ST,West End,490028.4414,5459277.665
Break and Enter Commercial,2023,5,31,0,59,10XX CARDERO ST,West End,490028.4414,5459277.665
Break and Enter Commercial,2023,1,2,1,36,10XX CLARK DR,Strathcona,494373.0788,5458049.7484
Break and Enter Commercial,2023,2,2,1,22,10XX CLARK DR,Strathcona,494373.0788,5458049.7484
Break and Enter Commercial,2023,1,15,15,30,10XX CLARK DR,Strathcona,494373.4663,5458099.3085
Break and Enter Commercial,2023,1,26,4,37,10XX COMMERCIAL DR,Grandview-Woodland,494946.8873,5458110.933
Break and Enter Commercial,2023,1,5,5,42,10XX DAVIE ST,West End,490478.0723,5458619.0694
Break and Enter Commercial,2023,3,6,5,41,10XX DAVIE ST,West End,490500.3088,5458584.3009
Break and Enter Commercial,2023,3,11,7,19,10XX DAVIE ST,West End,490547.508,5458537.759
Break and Enter Commercial,2023,5,1,18,0,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.9505
Break and Enter Commercial,2023,1,19,8,19,10XX GRANVILLE ST,Central Business District,490976.3891,5458424.1806
Break and Enter Commercial,2023,3,9,5,18,10XX HAMILTON ST,Central Business District,491231.5917,5458181.9261
Break and Enter Commercial,2023,4,26,4,52,10XX HAMILTON ST,Central Business District,491285.292,5458223.5386
Break and Enter Commercial,2023,1,5,1,0,10XX HARO ST,West End,490899.0253,5458974.0656
Break and Enter Commercial,2023,2,4,4,49,10XX HARO ST,West End,490899.0253,5458974.0656
Break and Enter Commercial,2023,3,30,1,0,10XX HARWOOD ST,West End,490397.5287,5458375.2264
Break and Enter Commercial,2023,1,29,7,20,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Break and Enter Commercial,2023,4,6,22,59,10XX HORNBY ST,Central Business District,490833.289,5458565.0539
Break and Enter Commercial,2023,5,29,4,38,10XX HOWE ST,Central Business District,490954.4909,5458562.2581
Break and Enter Commercial,2023,3,29,6,4,10XX MAINLAND ST,Central Business District,491255.1482,5458126.906
Break and Enter Commercial,2023,3,20,23,56,10XX PACIFIC ST,West End,490285.016,5458342.4257
Break and Enter Commercial,2023,4,15,6,24,10XX PACIFIC ST,West End,490285.016,5458342.4257
Break and Enter Commercial,2023,5,5,4,15,10XX PACIFIC ST,West End,490285.016,5458342.4257
Break and Enter Commercial,2023,1,12,2,28,10XX PACIFIC ST,West End,490351.6917,5458276.3433
Break and Enter Commercial,2023,2,2,14,1,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,2,13,20,41,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,1,19,7,0,10XX ROBSON ST,West End,490945.1763,5459083.5729
Break and Enter Commercial,2023,3,15,5,6,10XX ROBSON ST,West End,491067.6246,5458962.5695
Break and Enter Commercial,2023,1,18,6,22,10XX SW MARINE DR,Marpole,490456.8022,5450205.0179
Break and Enter Commercial,2023,3,1,18,0,10XX W 47TH AVE,Oakridge,490632.5166,5452851.6522
Break and Enter Commercial,2023,3,23,5,38,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.4771
Break and Enter Commercial,2023,3,31,4,9,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.4771
Break and Enter Commercial,2023,6,4,6,37,10XX W HASTINGS ST,Central Business District,491359.0894,5459440.1619
Break and Enter Commercial,2023,2,1,20,6,10XX W HASTINGS ST,Central Business District,491385.9008,5459438.5889
Break and Enter Commercial,2023,5,31,17,40,10XX W HASTINGS ST,Central Business District,491451.6338,5459410.3303
Break and Enter Commercial,2023,3,14,9,4,10XX W KING EDWARD AVE,Shaughnessy,490673.4709,5455186.9638
Break and Enter Commercial,2023,4,13,0,50,11XX ALBERNI ST,West End,490900.8588,5459278.1671
Break and Enter Commercial,2023,3,23,5,20,11XX BEACH AVE,West End,490085.9345,5458429.7442
Break and Enter Commercial,2023,2,10,19,2,11XX COMMERCIAL DR,Grandview-Woodland,494936.2638,5457968.3919
Break and Enter Commercial,2023,1,25,3,45,11XX COMMERCIAL DR,Grandview-Woodland,494945.3438,5457962.4562
Break and Enter Commercial,2023,1,27,0,48,11XX COMMERCIAL DR,Grandview-Woodland,494945.51,5457978.0178
Break and Enter Commercial,2023,2,13,1,31,11XX COMMERCIAL DR,Grandview-Woodland,494945.51,5457978.0178
Break and Enter Commercial,2023,3,2,19,30,11XX DAVIE ST,West End,490443.5988,5458653.6192
Break and Enter Commercial,2023,1,29,22,0,11XX DENMAN ST,West End,489715.3524,5459422.986
Break and Enter Commercial,2023,2,12,14,10,11XX E HASTINGS ST,Strathcona,494133.7602,5458699.1251
Break and Enter Commercial,2023,4,26,4,43,11XX GRANT ST,Strathcona,494237.7827,5457645.9943
Break and Enter Commercial,2023,6,1,4,32,11XX GRANT ST,Strathcona,494274.1694,5457645.8023
Break and Enter Commercial,2023,3,10,0,44,11XX GRANVILLE ST,Central Business District,490854.7915,5458314.2845
Break and Enter Commercial,2023,3,8,5,51,11XX GRANVILLE ST,Central Business District,490925.7298,5458385.5992
Break and Enter Commercial,2023,1,2,19,0,11XX HAMILTON ST,Central Business District,491097.2073,5458033.3087
Break and Enter Commercial,2023,1,4,13,28,11XX HAMILTON ST,Central Business District,491097.2073,5458033.3087
Break and Enter Commercial,2023,4,24,4,28,11XX HAMILTON ST,Central Business District,491165.4836,5458114.9404
Break and Enter Commercial,2023,2,23,5,15,11XX HOMER ST,Central Business District,491089.4245,5458124.004
Break and Enter Commercial,2023,1,2,3,17,11XX HOMER ST,Central Business District,491107.3085,5458141.7926
Break and Enter Commercial,2023,2,21,6,47,11XX HOMER ST,Central Business District,491107.3085,5458141.7926
Break and Enter Commercial,2023,3,13,3,19,11XX HOWE ST,Central Business District,490766.2424,5458357.6914
Break and Enter Commercial,2023,5,30,5,45,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2023,3,14,19,0,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494165.7394,5455488.7734
Break and Enter Commercial,2023,3,28,21,0,11XX MAIN ST,Central Business District,492720.2567,5457977.1068
Break and Enter Commercial,2023,5,20,3,37,11XX MAIN ST,Central Business District,492721.5119,5458013.1693
Break and Enter Commercial,2023,4,14,4,39,11XX MAINLAND ST,Central Business District,491215.3721,5458086.3376
Break and Enter Commercial,2023,3,15,20,14,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2023,2,28,7,20,11XX PACIFIC BLVD,Central Business District,491193.9976,5457950.5694
Break and Enter Commercial,2023,3,8,4,0,11XX PACIFIC ST,West End,490205.8962,5458408.09
Break and Enter Commercial,2023,2,23,7,30,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2023,5,26,7,6,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2023,3,30,23,0,11XX QUEBEC ST,Central Business District,492609.2795,5457958.9958
Break and Enter Commercial,2023,3,1,3,19,11XX RICHARDS ST,Central Business District,491045.4768,5458211.0027
Break and Enter Commercial,2023,3,11,11,13,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.6172
Break and Enter Commercial,2023,3,12,18,30,11XX STATION ST,Strathcona,492835.0141,5457933.8959
Break and Enter Commercial,2023,2,1,16,30,11XX VENABLES ST,Strathcona,494098.4697,5458236.3704
Break and Enter Commercial,2023,4,26,11,0,11XX W 11TH AVE,Fairview,490560.7046,5456537.5467
Break and Enter Commercial,2023,2,10,2,45,11XX W 7TH AVE,Fairview,490496.1676,5456943.4365
Break and Enter Commercial,2023,3,6,0,36,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Break and Enter Commercial,2023,1,28,11,0,11XX W PENDER ST,Central Business District,491035.8752,5459521.2951
Break and Enter Commercial,2023,5,26,23,0,11XX W PENDER ST,Central Business District,491081.0957,5459500.7397
Break and Enter Commercial,2023,2,18,23,49,11XX W PENDER ST,Central Business District,491093.4285,5459495.1337
Break and Enter Commercial,2023,4,7,23,30,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2023,2,28,2,14,12XX BURNABY ST,West End,490151.5668,5458788.482
Break and Enter Commercial,2023,3,29,0,0,12XX BURRARD ST,Central Business District,490558.7319,5458436.9437
Break and Enter Commercial,2023,1,25,3,30,12XX BUTE ST,West End,490291.7177,5458788.7956
Break and Enter Commercial,2023,1,15,15,45,12XX CLARK DR,Strathcona,494372.4111,5457905.1306
Break and Enter Commercial,2023,1,13,3,45,12XX DAVIE ST,West End,490227.2734,5458858.7773
Break and Enter Commercial,2023,5,25,5,21,12XX DENMAN ST,West End,489685.2236,5459392.7285
Break and Enter Commercial,2023,3,21,19,55,12XX E 7TH AVE,Mount Pleasant,494282.422,5456829.6141
Break and Enter Commercial,2023,1,11,17,0,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2023,3,11,17,0,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2023,1,25,4,49,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2023,1,10,0,10,12XX GRANVILLE ST,Central Business District,490745.3188,5458189.6641
Break and Enter Commercial,2023,3,31,7,0,12XX HAMILTON ST,Central Business District,491034.7587,5457983.8264
Break and Enter Commercial,2023,3,28,5,0,12XX HOWE ST,Central Business District,490650.5904,5458254.6229
Break and Enter Commercial,2023,3,23,20,54,12XX MAIN ST,Central Business District,492717.8494,5457907.8665
Break and Enter Commercial,2023,2,10,1,30,12XX PACIFIC BLVD,Central Business District,491071.5187,5457900.6399
Break and Enter Commercial,2023,3,13,19,0,12XX PACIFIC BLVD,Central Business District,491121.7751,5457920.9827
Break and Enter Commercial,2023,2,14,13,19,12XX PACIFIC ST,West End,489987.3712,5458641.2618
Break and Enter Commercial,2023,1,13,4,34,12XX PENDRELL ST,West End,490309.5435,5458928.1325
Break and Enter Commercial,2023,3,9,4,40,12XX PENDRELL ST,West End,490309.5435,5458928.1325
Break and Enter Commercial,2023,3,16,9,47,12XX RICHARDS ST,Central Business District,490922.1059,5458085.9277
Break and Enter Commercial,2023,3,16,5,0,12XX RICHARDS ST,Central Business District,490959.4601,5458124.4165
Break and Enter Commercial,2023,3,12,8,43,12XX ROBSON ST,West End,490740.7852,5459274.5699
Break and Enter Commercial,2023,1,26,5,10,12XX SEYMOUR ST,Central Business District,490840.7359,5458141.076
Break and Enter Commercial,2023,3,12,0,0,12XX W 13TH AVE,Fairview,490318.032,5456333.8562
Break and Enter Commercial,2023,4,2,3,39,12XX W 13TH AVE,Fairview,490318.032,5456333.8562
Break and Enter Commercial,2023,5,1,4,14,12XX W 14TH AVE,Fairview,490281.2246,5456233.229
Break and Enter Commercial,2023,5,27,22,27,12XX W HASTINGS ST,Central Business District,490992.0884,5459600.4215
Break and Enter Commercial,2023,1,14,23,45,13XX ALBERNI ST,West End,490706.7634,5459466.0512
Break and Enter Commercial,2023,3,13,4,0,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2023,3,13,4,40,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2023,3,20,9,48,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2023,2,10,6,0,13XX CARTWRIGHT ST,Fairview,490201.3941,5457481.6205
Break and Enter Commercial,2023,5,2,5,0,13XX E 21ST AVE,Kensington-Cedar Cottage,494401.8585,5455444.5447
Break and Enter Commercial,2023,6,6,0,22,13XX E 7TH AVE,Grandview-Woodland,494369.5353,5456837.4585
Break and Enter Commercial,2023,6,3,0,0,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.7119
Break and Enter Commercial,2023,6,3,13,38,13XX HOMER ST,Central Business District,490891.9138,5457924.9907
Break and Enter Commercial,2023,1,30,14,0,13XX HORNBY ST,Central Business District,490552.8928,5458278.9709
Break and Enter Commercial,2023,3,29,20,0,13XX HOWE ST,Central Business District,490608.8679,5458212.8073
Break and Enter Commercial,2023,1,5,5,30,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494448.0967,5455282.6135
