id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors
1,Junction,2,0.0,-123.2247581,49.27476,10,0,0,0,0,"[(24, 774.7263166, 7756), (5, 347.1479463, 7851)]"
2,Dead end,1,0.0,-123.2238652,49.27737087,0,0,0,0,0,
3,Dead end,1,0.0,-123.2224918,49.27093693,17,0,0,0,0,
4,Junction,4,0.0,-123.2208917,49.27116799,0,0,0,0,0,"[(5, 445.3076787, 1720), (6, 265.0581923, 2145), (22, 436.4823547, 7822)]"
5,Junction,3,0.0,-123.2205669,49.27383219,0,0,0,0,0,"[(4, 445.3076787, 1720), (23, 442.2354413, 7761), (1, 347.1479463, 7851)]"
6,Junction,3,0.0,-123.2196133,49.26895668,0,0,0,0,0,"[(4, 265.0581923, 2145), (7, 195.2630168, 2785), (20, 336.071241, 7823)]"
7,Junction,2,0.0,-123.2195723,49.26720284,9,0,0,0,0,"[(6, 195.2630168, 2785), (18, 328.4182499, 7824)]"
8,Junction,2,0.0,-123.2153964,49.2583821,18,0,0,0,0,"[(9, 110.6950032, 5316), (29, 223.5496613, 7742)]"
9,Junction,3,0.0,-123.2153603,49.25937754,0,0,0,0,0,"[(10, 100.6839068, 5143), (8, 110.6950032, 5316), (30, 223.5576821, 7741)]"
10,Junction,3,0.0,-123.2153278,49.26028296,0,0,0,0,0,"[(11, 100.5858371, 4725), (9, 100.6839068, 5143), (31, 223.7076711, 7740)]"
11,Junction,3,1.1165886676147725,-123.2152949,49.26118749,0,2,0,0,0,"[(12, 100.5355153, 4501), (10, 100.5858371, 4725), (32, 223.7276842, 7739)]"
12,Junction,3,0.0,-123.2152621,49.26209157,0,0,0,0,0,"[(13, 100.5319654, 4285), (11, 100.5355153, 4501), (33, 223.6557723, 7738)]"
13,Junction,3,0.0,-123.2152295,49.26299562,0,0,0,0,0,"[(14, 102.6384139, 4097), (12, 100.5319654, 4285), (34, 223.597737, 7737)]"
14,Junction,3,0.7034476949995692,-123.215196,49.26391861,3,1,0,0,0,"[(15, 98.31930961, 3902), (13, 102.6384139, 4097), (35, 223.5721647, 7736)]"
15,Junction,3,0.0,-123.2151642,49.26480277,2,0,0,0,0,"[(16, 97.21157564, 3701), (14, 98.31930961, 3902), (36, 223.6107204, 7751)]"
16,Junction,3,0.0,-123.2151333,49.26567697,0,0,0,0,0,"[(17, 93.90349163, 3504), (15, 97.21157564, 3701), (37, 223.7175669, 7750)]"
17,Junction,3,0.0,-123.2151021,49.2665214,0,0,0,0,0,"[(18, 94.90823369, 3268), (16, 93.90349163, 3504), (38, 223.6429441, 7749)]"
18,Junction,4,0.0,-123.2150712,49.26737487,0,0,0,0,0,"[(19, 94.72200849, 3045), (17, 94.90823369, 3268), (39, 223.6857617, 7748), (7, 328.4182499, 7824)]"
19,Junction,3,0.8890951079525365,-123.21504,49.26822667,1,2,0,0,0,"[(20, 96.91955167, 2829), (18, 94.72200849, 3045), (40, 223.6479775, 7747)]"
20,Junction,4,1.324564081967967,-123.2150088,49.26909824,1,2,0,0,0,"[(21, 130.85239, 2373), (19, 96.91955167, 2829), (41, 223.6463764, 7746), (6, 336.071241, 7823)]"
21,Junction,3,0.0,-123.214966,49.27027494,0,0,0,0,0,"[(22, 128.6205853, 2181), (20, 130.85239, 2373), (42, 223.5926545, 7745)]"
22,Junction,4,0.0,-123.214924,49.27143158,0,0,0,0,0,"[(23, 130.9100982, 1958), (21, 128.6205853, 2181), (27, 111.7135732, 7744), (4, 436.4823547, 7822)]"
23,Junction,4,0.0,-123.2148808,49.2726088,0,0,0,0,0,"[(24, 130.8636732, 1740), (22, 130.9100982, 1958), (27, 172.0808436, 7691), (5, 442.2354413, 7761)]"
24,Junction,5,1.1695905424404989,-123.2148373,49.2737856,0,2,0,0,0,"[(25, 65.78279288, 1549), (23, 130.8636732, 1740), (43, 344.0830476, 7678), (28, 122.0821239, 7680), (1, 774.7263166, 7756)]"
25,Junction,3,0.0,-123.2148151,49.27437714,0,0,0,0,0,"[(26, 160.602134, 1311), (24, 65.78279288, 1549), (48, 223.2788268, 7728)]"
26,Junction,3,0.0,-123.2147625,49.27582138,1,0,0,0,0,"[(25, 160.602134, 1311), (49, 242.6901574, 7714)]"
27,Junction,3,0.0,-123.2133887,49.27140907,0,0,0,0,0,"[(23, 172.0808436, 7691), (43, 111.8386344, 7743), (22, 111.7135732, 7744)]"
28,Junction,3,0.0,-123.2131595,49.27375918,0,0,0,0,0,"[(47, 101.2765861, 7679), (24, 122.0821239, 7680), (45, 158.3417743, 7706)]"
29,Junction,3,0.3734642804542691,-123.212325,49.25833512,1,1,0,0,0,"[(30, 110.6943175, 5451), (52, 221.505463, 7648), (8, 223.5496613, 7742)]"
30,Junction,4,0.0,-123.2122887,49.25933056,0,0,0,0,0,"[(31, 100.5731935, 5261), (29, 110.6943175, 5451), (53, 221.4067963, 7647), (9, 223.5576821, 7741)]"
31,Junction,4,0.2148744477060795,-123.2122541,49.26023494,0,1,0,0,0,"[(32, 100.5482615, 4844), (30, 100.5731935, 5261), (54, 221.2054186, 7646), (10, 223.7076711, 7740)]"
32,Junction,4,1.1625676488786585,-123.2122209,49.26113913,0,2,0,0,0,"[(33, 100.5686682, 4634), (31, 100.5482615, 4844), (55, 221.1506481, 7645), (11, 223.7276842, 7739)]"
33,Junction,4,0.0,-123.212189,49.26204353,0,0,0,0,0,"[(34, 100.5325524, 4418), (32, 100.5686682, 4634), (56, 221.1853722, 7644), (12, 223.6557723, 7738)]"
34,Junction,4,1.1600574427434838,-123.2121572,49.26294759,0,2,0,0,0,"[(35, 102.6595466, 4217), (33, 100.5325524, 4418), (57, 221.2799982, 7643), (13, 223.597737, 7737)]"
35,Junction,4,1.0297859656221808,-123.212124,49.26387078,2,2,11,0,0,"[(36, 98.37435089, 4018), (34, 102.6595466, 4217), (58, 221.2247295, 7642), (14, 223.5721647, 7736)]"
36,Junction,4,0.0,-123.2120915,49.26475542,0,0,0,0,0,"[(37, 96.23547722, 3825), (35, 98.37435089, 4018), (60, 221.1148951, 7658), (15, 223.6107204, 7751)]"
37,Junction,4,0.0,-123.2120601,49.26562083,0,0,0,0,0,"[(38, 94.8702014, 3620), (36, 96.23547722, 3825), (61, 221.0531694, 7657), (16, 223.7175669, 7750)]"
38,Junction,4,0.0,-123.2120289,49.26647397,0,0,0,0,0,"[(39, 94.84035191, 3409), (37, 94.8702014, 3620), (62, 221.0676791, 7656), (17, 223.6429441, 7749)]"
39,Junction,4,0.7397003733882802,-123.2119974,49.26732683,0,1,0,0,0,"[(40, 94.94219322, 3160), (38, 94.84035191, 3409), (63, 220.986079, 7655), (18, 223.6857617, 7748)]"
40,Junction,4,1.2361394103058867,-123.2119666,49.26818061,0,2,0,0,0,"[(41, 96.86539573, 2952), (39, 94.94219322, 3160), (64, 221.0393399, 7654), (19, 223.6479775, 7747)]"
41,Junction,4,0.0,-123.2119353,49.26905169,1,0,0,0,0,"[(42, 130.8409665, 2486), (40, 96.86539573, 2952), (65, 221.028275, 7653), (20, 223.6463764, 7746)]"
42,Junction,4,0.0,-123.2118932,49.2702283,0,0,0,0,0,"[(43, 128.7935707, 2286), (41, 130.8409665, 2486), (59, 204.023496, 7652), (21, 223.5926545, 7745)]"
