id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors,crime_range,store_range,transit_range,rtransit_range,schools_range
1,Junction,2,0.0,-123.2247581,49.27476,10,0,0,0,0,"[(24, 774.7263166, 7756), (5, 347.1479463, 7851)]",1.4808062111402396,1.341650382017823,10.40355100855535,0.0017651289934954228,0.03159074162516181
2,Dead end,1,0.0,-123.2238652,49.27737087,0,0,0,0,0,[],0.0,0.0,0.0,0.0,0.0
3,Dead end,1,0.0,-123.2224918,49.27093693,17,0,0,0,0,[],0.0,0.0,17.0,0.0,0.0
4,Junction,4,0.0,-123.2208917,49.27116799,0,0,0,0,0,"[(5, 445.3076787, 1720), (6, 265.0581923, 2145), (22, 436.4823547, 7822)]",1.7612931492140855,1.6241528955400526,0.8978156900358637,0.0019230970150953548,0.040266338353496564
5,Junction,3,0.0,-123.2205669,49.27383219,0,0,0,0,0,"[(4, 445.3076787, 1720), (23, 442.2354413, 7761), (1, 347.1479463, 7851)]",1.6967150788921945,1.5619265643641074,1.03345786464229,0.0018949783321998647,0.03846724685813658
6,Junction,3,0.0,-123.2196133,49.26895668,0,0,0,0,0,"[(4, 265.0581923, 2145), (7, 195.2630168, 2785), (20, 336.071241, 7823)]",2.0368746521776853,1.882813028174887,1.7364530419517636,0.0020349194473827867,0.049012945175826675
7,Junction,2,0.0,-123.2195723,49.26720284,9,0,0,0,0,"[(6, 195.2630168, 2785), (18, 328.4182499, 7824)]",2.0381284726405493,2.0548927816292433,9.702615496241664,0.0020279831999437817,0.050710686443333035
8,Junction,2,0.0,-123.2153964,49.2583821,18,0,0,0,0,"[(9, 110.6950032, 5316), (29, 223.5496613, 7742)]",2.201598121198166,2.16500480900806,18.729863534884288,0.0019957790888202286,0.05752735094757402
9,Junction,3,0.0,-123.2153603,49.25937754,0,0,0,0,0,"[(10, 100.6839068, 5143), (8, 110.6950032, 5316), (30, 223.5576821, 7741)]",2.4085882231910474,2.3484379633624637,4.786845396935039,0.002009006540222058,0.05702406465164198
10,Junction,3,0.0,-123.2153278,49.26028296,0,0,0,0,0,"[(11, 100.5858371, 4725), (9, 100.6839068, 5143), (31, 223.7076711, 7740)]",2.8805546949595975,2.5769589786022804,2.646999055594472,0.002030662083859716,0.05744824561153948
11,Junction,3,1.1165886676147725,-123.2152949,49.26118749,0,2,0,0,0,"[(12, 100.5355153, 4501), (10, 100.5858371, 4725), (32, 223.7276842, 7739)]",4.584080819703666,2.8873630422736034,1.9737174004098552,0.002057556689354502,0.056989971062110865
12,Junction,3,0.0,-123.2152621,49.26209157,0,0,0,0,0,"[(13, 100.5319654, 4285), (11, 100.5355153, 4501), (33, 223.6557723, 7738)]",3.1452657408376825,3.3280979852946557,1.8425654488243395,0.002085288106179206,0.05716037119405737
13,Junction,3,0.0,-123.2152295,49.26299562,0,0,0,0,0,"[(14, 102.6384139, 4097), (12, 100.5319654, 4285), (34, 223.597737, 7737)]",3.168177438392199,3.9914044139198706,2.229068030010889,0.002106654154243552,0.05788101785112156
14,Junction,3,0.7034476949995692,-123.215196,49.26391861,3,1,0,0,0,"[(15, 98.31930961, 3902), (13, 102.6384139, 4097), (35, 223.5721647, 7736)]",3.9132407539009364,5.141560984339957,4.824808738317629,0.002130412120123974,0.05944927815449095
15,Junction,3,0.0,-123.2151642,49.26480277,2,0,0,0,0,"[(16, 97.21157564, 3701), (14, 98.31930961, 3902), (36, 223.6107204, 7751)]",2.999150972531097,4.071403031601772,3.9611551936343012,0.0021463976531743596,0.061439913705052064
16,Junction,3,0.0,-123.2151333,49.26567697,0,0,0,0,0,"[(17, 93.90349163, 3504), (15, 97.21157564, 3701), (37, 223.7175669, 7750)]",2.8198730674963897,3.4813226259876813,2.0571823795959583,0.0021767735878579905,0.06463840153374942
