id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,schools_count,neighbors,business_count,retail_count,employees,rapid_transit_count,crime_reach,store_reach,transit_reach,rapid_transit_reach,schools_reach,business_reach,retail_reach,employees_reach
1,Junction,2,0.0,-123.2247581,49.27476,10,0,0,0,"[(24, 774.7263166, 7756), (5, 347.1479463, 7851)]",0,0,0.0,0,1.0389498133455075e-10,0.0,0.1722972022779959,0.0,0.0,0.0,0.0,0.0
2,Dead end,1,0.0,-123.2238652,49.27737087,0,0,0,0,[],0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Dead end,1,0.0,-123.2224918,49.27093693,17,0,0,0,[],0,0,0.0,0,0.0,0.0,0.292905243872593,0.0,0.0,0.0,0.0,0.0
4,Junction,4,0.0,-123.2208917,49.27116799,0,0,0,0,"[(5, 445.3076787, 1720), (6, 265.0581923, 2145), (22, 436.4823547, 7822)]",0,0,0.0,0,4.486229507740937e-06,0.0,0.1167581363348065,0.0,0.0,0.0,0.0,0.0
5,Junction,3,0.0,-123.2205669,49.27383219,0,0,0,0,"[(4, 445.3076787, 1720), (23, 442.2354413, 7761), (1, 347.1479463, 7851)]",0,0,0.0,0,3.373830878031114e-07,0.0,0.13881499225363825,0.0,0.0,0.0,0.0,0.0
6,Junction,3,0.0,-123.2196133,49.26895668,0,0,0,0,"[(4, 265.0581923, 2145), (7, 195.2630168, 2785), (20, 336.071241, 7823)]",0,0,0.0,0,9.150087376617618e-05,0.0,0.17675462595094485,0.0,0.0,0.0,0.0,0.0
7,Junction,2,0.0,-123.2195723,49.26720284,9,0,0,0,"[(6, 195.2630168, 2785), (18, 328.4182499, 7824)]",0,0,0.0,0,1.3552472816886939e-05,0.001649059684187057,0.1997067129346278,0.0,0.0,0.0002655314376394305,0.00028116646471068563,0.00017107018996315255
8,Junction,2,0.0,-123.2153964,49.2583821,18,0,0,0,"[(9, 110.6950032, 5316), (29, 223.5496613, 7742)]",0,0,0.0,0,0.0007195594888274161,0.0028151105256443635,0.3665472981173413,0.0,0.0,0.0004532888361507297,0.00047997939786846567,0.00029203399792449513
9,Junction,3,0.0,-123.2153603,49.25937754,0,0,0,0,"[(10, 100.6839068, 5143), (8, 110.6950032, 5316), (30, 223.5576821, 7741)]",0,0,0.0,0,0.001842676351060005,0.011191848588462913,0.36438816778203414,0.0,0.0,0.0021923553738977964,0.003414656854365426,0.0013391408567458155
10,Junction,3,0.0,-123.2153278,49.26028296,0,1,0,0,"[(11, 100.5858371, 4725), (9, 100.6839068, 5143), (31, 223.7076711, 7740)]",0,0,0.0,0,0.0032828449064124183,0.018584493558630528,0.3479972567601392,0.0,0.0,0.0036788636060455984,0.0058182989592851335,0.002241209636681245
11,Junction,3,1.1165886676147725,-123.2152949,49.26118749,0,2,0,0,"[(12, 100.5355153, 4501), (10, 100.5858371, 4725), (32, 223.7276842, 7739)]",0,0,0.0,0,0.0036185048227700143,0.03548603212088895,0.3254651093763709,0.0,0.0,0.00714831828168855,0.011754576511274352,0.004490368305925741
12,Junction,3,0.0,-123.2152621,49.26209157,0,0,0,0,"[(13, 100.5319654, 4285), (11, 100.5355153, 4501), (33, 223.6557723, 7738)]",0,0,0.0,0,0.0027540711725046216,0.05435355929553496,0.3101208497583034,0.0,0.0,0.011045591371002899,0.018418981350693017,0.006960502897425461
13,Junction,3,0.0,-123.2152295,49.26299562,0,0,0,0,"[(14, 102.6384139, 4097), (12, 100.5319654, 4285), (34, 223.597737, 7737)]",0,0,0.0,0,0.003538340707714343,0.08026663262317227,0.29689840177586563,0.0,0.0,0.016514540631921034,0.02819208974456917,0.010495253979959613
14,Junction,3,0.7034476949995692,-123.215196,49.26391861,3,1,0,0,"[(15, 98.31930961, 3902), (13, 102.6384139, 4097), (35, 223.5721647, 7736)]",0,0,0.0,0,0.0036624011199574897,0.11163848885794563,0.29006440921355087,0.0,0.0,0.02318604793581882,0.04010825356840014,0.014803682350151186
15,Junction,3,0.0,-123.2151642,49.26480277,2,2,0,0,"[(16, 97.21157564, 3701), (14, 98.31930961, 3902), (36, 223.6107204, 7751)]",0,0,0.0,0,0.003584397389596474,0.08147912342158364,0.2665838267158961,0.0,0.0,0.016815948041346708,0.028646134297604358,0.010660073260193888
16,Junction,3,0.0,-123.2151333,49.26567697,0,0,0,0,"[(17, 93.90349163, 3504), (15, 97.21157564, 3701), (37, 223.7175669, 7750)]",0,0,0.0,0,0.002331062231986457,0.05619753842614178,0.25108133948736316,0.0,0.0115342604251444,0.011503323627121666,0.019078865810407672,0.007203756080106398
17,Junction,3,0.0,-123.2151021,49.2665214,0,0,0,0,"[(18, 94.90823369, 3268), (16, 93.90349163, 3504), (38, 223.6429441, 7749)]",0,0,0.0,0,0.0019208971933967185,0.03795951111970382,0.24830525227968142,0.0,0.029071275278117127,0.007793359337519996,0.012618960459547158,0.004811991070091096
18,Junction,4,0.0,-123.2150712,49.26737487,0,0,0,0,"[(19, 94.72200849, 3045), (17, 94.90823369, 3268), (39, 223.6857617, 7748), (7, 328.4182499, 7824)]",0,0,0.0,0,0.003176959771826798,0.02048890871517117,0.23647654273576785,0.0,0.04809792077649553,0.0041781405598800446,0.006448296399514469,0.002474867653961541
19,Junction,3,0.8890951079525365,-123.21504,49.26822667,1,2,0,0,"[(20, 96.91955167, 2829), (18, 94.72200849, 3045), (40, 223.6479775, 7747)]",0,0,0.0,0,0.004365272925257111,0.012869718568652157,0.2081405448187283,0.0,0.05769598796355127,0.0025967450373482795,0.0039538843255078684,0.0015431320529241978
20,Junction,4,1.324564081967967,-123.2150088,49.26909824,1,2,0,0,"[(21, 130.85239, 2373), (19, 96.91955167, 2829), (41, 223.6463764, 7746), (6, 336.071241, 7823)]",0,0,0.0,0,0.003968926499994876,0.0034608299030418764,0.17925158120893628,0.0,0.031285417006902225,0.000584020783617124,0.0005900752520567544,0.00035901964896764495
21,Junction,3,0.0,-123.214966,49.27027494,0,0,0,0,"[(22, 128.6205853, 2181), (20, 130.85239, 2373), (42, 223.5926545, 7745)]",0,0,0.0,0,0.002447997973110411,0.0017069980854554877,0.13199262503985773,0.0,0.017259855959962763,0.00027486067364638605,0.0002910450249664744,0.00017708060511440157
