id,unit,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
1984,N/A,3504,W 4TH AV,Forerunners Enterprises,Comparison Goods,49.26829910736703,-123.18198147633284,483,71.45613582688915
1985,N/A,3510,W 4TH AV,Double DD Pizza,Food & Beverage,49.268302509426235,-123.1821886290571,483,92.48298181193177
1992,N/A,3570,W 4TH AV,Restore Human,Service Commercial,49.268321296539,-123.1833630398489,424,67.95670720853165
1998,N/A,3598,W 4TH AV,Aphrodites Organic Pie Shop,Convenience Goods,49.268321296539,-123.1833630398489,424,67.95670720853165
2001,N/A,3611,W 4TH AV,Vacant,Vacant,49.268860945244235,-123.18403436841272,424,87.92206997850778
2002,N/A,3615,W 4TH AV,Vacant,Vacant,49.268860945244235,-123.18403436841272,424,87.92206997850778
2007,N/A,3629,W 4TH AV,Happy 3 Consignment Ltd,Comparison Goods,49.26886863466641,-123.18451808756963,424,147.26535426943468
2008,N/A,3630,W 4TH AV,Tribal Art Rugs and Jewelry,Comparison Goods,49.268352380423636,-123.18439961731059,424,126.76445063698752
2012,N/A,3642,W 4TH AV,Kestrel Books,Comparison Goods,49.2683571852624,-123.18467640301425,361,157.6578144107937
2014,N/A,3659,W 4TH AV,Vacant,Vacant,49.268877426184055,-123.18507120127674,361,106.43488216444932
2017,N/A,3662,W 4TH AV,Heritage Home Supplies,Comparison Goods,49.268361627201976,-123.18495301971518,361,120.75015527500403
2020,N/A,3669,W 4TH AV,Okanagan Wine Cellars,Convenience Goods,49.268877426184055,-123.18507120127674,361,106.43488216444932
2023,N/A,3680,W 4TH AV,Rebecca Bree,Convenience Goods,49.26835530754138,-123.18535470629834,361,75.65244239775193
2025,N/A,3686,W 4TH AV,Beyond Bread Artisan Bakery,Convenience Goods,49.26835530754138,-123.18535470629834,361,75.65244239775193
2026,N/A,3687,W 4TH AV,Lufficio Restaurant,Food & Beverage,49.268881828076594,-123.1853475211078,361,76.70831448431157
2030,N/A,3698,W 4TH AV,Blenz Coffee,Food & Beverage,49.26835530754138,-123.18535470629834,361,75.65244239775193
2031,N/A,3750,W 4TH AV,Breka Downtown Bakery Café,Food & Beverage,49.26819526630278,-123.18637769134192,360,136.03175951841774
2037,N/A,3288,DUNBAR ST,Preventum Skin,Service Commercial,49.25758668797599,-123.1846858158127,405,80.76698475375396
2040,N/A,3308,DUNBAR ST,Gold Star Shoe Rebuilders,Service Commercial,49.25721201260662,-123.18472586352902,405,62.2999699015276
2043,N/A,3323,DUNBAR ST,Legacy Show Suite,Service Commercial,49.257113209959144,-123.18550178029385,405,77.70734650762805
2045,N/A,3336,DUNBAR ST,Vacant,Vacant,49.25698621394523,-123.18472794532526,405,96.77497593898401
2049,N/A,3352,DUNBAR ST,Visual Space Gallery,Comparison Goods,49.25698621394523,-123.18472794532526,405,96.77497593898401
2052,N/A,3368,DUNBAR ST,Dr. Madhani Neurology,Service Commercial,49.256735110440175,-123.18473082594468,404,79.49163143933482
2053,N/A,3378,DUNBAR ST,Vacant,Vacant,49.256735110440175,-123.18473082594468,404,79.49163143933482
2056,N/A,3393,DUNBAR ST,Columbia International Tutoring Group,Service Commercial,49.256711670412955,-123.18550630716342,404,77.25740054721798
2058,N/A,3420,DUNBAR ST,Vacant,Vacant,49.256257735433756,-123.18473444523634,404,73.5500328711765
2060,N/A,3432,DUNBAR ST,La Canapa,Convenience Goods,49.256167291473275,-123.18473538300822,404,88.16635556905132
2070,120,3479,DUNBAR ST,Johnston Meier Insurance,Service Commercial,49.25603288519235,-123.1855065407093,404,114.44293935103403
2071,N/A,3479,DUNBAR ST,Hillhouse Education,Service Commercial,49.25603288519235,-123.1855065407093,404,114.44293935103403
2073,N/A,3496,DUNBAR ST,Pan Fo Si Meditation,Entertainment and Leisure,49.255715062687216,-123.18474005117592,403,62.80402475507332
2074,N/A,4168,DUNBAR ST,Life Chiropractor,Service Commercial,49.24928649338968,-123.1848317929129,395,79.17438608738128
2076,N/A,4188,DUNBAR ST,Doggy Darecare,Service Commercial,49.24928649338968,-123.1848317929129,395,79.17438608738128
2084,N/A,4221,DUNBAR ST,Café Artigiano,Food & Beverage,49.24848461035401,-123.18562638889289,394,113.56056967267455
2086,N/A,4238,DUNBAR ST,Top Cut Barber,Service Commercial,49.24874770524774,-123.18485131297993,395,75.95621148202407
2091,N/A,4288,DUNBAR ST,Wild Sushi,Food & Beverage,49.24824725743236,-123.18484104240629,394,65.27194958585261
2094,N/A,4295,DUNBAR ST,Buntain Insurance,Service Commercial,49.24848461035401,-123.18562638889289,394,113.56056967267455
2095,N/A,4298,DUNBAR ST,Dominos Pizza,Food & Beverage,49.24824725743236,-123.18484104240629,394,65.27194958585261
2099,N/A,4315,DUNBAR ST,Vacant,Vacant,49.247866948573304,-123.18553479185725,394,66.2539736591755
2101,N/A,4326,DUNBAR ST,Shoppers Drug Mart,Convenience Goods,49.24752684070252,-123.18484106674339,393,105.14767398652364
2108,N/A,4395,DUNBAR ST,Bank of Montreal,Service Commercial,49.247299456380226,-123.1855587908832,393,66.4537826450252
2117,N/A,4497,DUNBAR ST,Bells and Whistles,Food & Beverage,49.24644160238141,-123.18567067500143,392,91.17535405318962
2123,N/A,4555,DUNBAR ST,Dunbar Theatre,Entertainment and Leisure,49.24555580730466,-123.18560056814317,391,94.07732061554681
2130,N/A,5520,DUNBAR ST,Vacant,Vacant,49.23606979171254,-123.18502320602808,380,89.59387509323771
2144,N/A,5640,DUNBAR ST,Andrew Wilkinson MLA,Service Commercial,49.23519562939841,-123.18496584702586,378,109.7998649959448
2151,N/A,3636,W 16TH AV,Vacant,Vacant,49.25760592394863,-123.18594615572123,348,76.14880551939035
2157,N/A,3502,W 41ST AV,Bosley's Pet Food,Comparison Goods,49.234467269080305,-123.18249200185862,444,94.62294817233688
2159,N/A,3516,W 41ST AV,30 Minute Hit,Entertainment and Leisure,49.234467269080305,-123.18249200185862,444,94.62294817233688
2163,N/A,3535,W 41ST AV,Save on Foods,Convenience Goods,49.235082831970765,-123.1844283039008,378,148.44289819151288
2164,N/A,3536,W 41ST AV,Vacant,Vacant,49.234493210944315,-123.18371473408153,378,241.07943026503392
2165,N/A,3548,W 41ST AV,Vacant UC,Vacant UC,49.234493210944315,-123.18371473408153,378,241.07943026503392
2169,N/A,3556,W 41ST AV,Busy Bee Dry Cleaning,Service Commercial,49.234493210944315,-123.18371473408153,378,241.07943026503392
2173,N/A,3579,W 41ST AV,Southlands Dental Group,Service Commercial,49.23495748738697,-123.18488032341041,378,77.8420410904724
2178,N/A,3596,W 41ST AV,Shell Canada Limited,Automotive Goods & Services,49.234481503889555,-123.1849508424323,378,82.36540722861476
2181,N/A,1016,ALBERNI ST,LFX Jewelry,Comparison Goods,49.28402648462608,-123.12236084929206,2413,70.47017723967086
2184,N/A,1032,ALBERNI ST,Black and Blue Restaurant,Food & Beverage,49.28445288453749,-123.12301925401955,2413,204.947209638798
2185,N/A,1033,ALBERNI ST,Rimowa,Comparison Goods,49.2845455907278,-123.12198907740935,2432,127.68282896415056
2186,N/A,1035,ALBERNI ST,Jimmy Choo,Comparison Goods,49.2845455907278,-123.12198907740935,2432,127.68282896415056
2187,N/A,1037,ALBERNI ST,Vacant,Vacant,49.2845455907278,-123.12198907740935,2432,127.68282896415056
2190,N/A,1054,ALBERNI ST,Coast Restaurant,Food & Beverage,49.28464068115628,-123.12330968558508,2362,159.7125811433872
2191,N/A,1055,ALBERNI ST,Vacheron Constantin Boutique,Comparison Goods,49.2845455907278,-123.12198907740935,2432,127.68282896415056
2193,N/A,1061,ALBERNI ST,Oliver Peoples,Comparison Goods,49.28511832284714,-123.1228733215244,2362,131.82870238958324
2196,101,1076,ALBERNI ST,Off White Vancouver,Comparison Goods,49.28486355788119,-123.12365339959302,2362,98.37291926541846
2200,N/A,1092,ALBERNI ST,Tory Burch,Comparison Goods,49.28486355788119,-123.12365339959302,2362,98.37291926541846
2203,N/A,1108,ALBERNI ST,Blu Bird,Comparison Goods,49.28537197473215,-123.12443709105067,2362,102.71100405242308
2204,N/A,1119,ALBERNI ST,Rolex Boutique,Comparison Goods,49.285945646915266,-123.12415055654643,2362,155.09145973361635
2205,N/A,1121,ALBERNI ST,The Keg Steakhouse + Bar,Food & Beverage,49.285945646915266,-123.12415055654643,2362,155.09145973361635
2207,N/A,1136,ALBERNI ST,Neptune Chinese Kitchen,Food & Beverage,49.28572197263361,-123.12497781051809,2362,202.71809567638567
2210,N/A,1158,ALBERNI ST,A&W Restaurant,Food & Beverage,49.2861674281454,-123.12566603139663,2268,123.8574210409651
2211,N/A,1162,ALBERNI ST,Subway,Food & Beverage,49.2861674281454,-123.12566603139663,2268,123.8574210409651
2215,N/A,1172,ALBERNI ST,Kirin Mandarin Restaurant,Food & Beverage,49.2861674281454,-123.12566603139663,2268,123.8574210409651
2218,N/A,723,BURRARD ST,Tiffany & Co Canada,Comparison Goods,49.2845455907278,-123.12198907740935,2432,127.68282896415056
2220,N/A,753,BURRARD ST,Wolford Canada Inc,Comparison Goods,49.28402648462608,-123.12236084929206,2413,70.47017723967086
2222,202,755,BURRARD ST,Shabusen Japanese Yakiniku,Food & Beverage,49.28402648462608,-123.12236084929206,2413,70.47017723967086
2235,N/A,820,BURRARD ST,Joey Burrard Grill,Food & Beverage,49.282678361394666,-123.1230968580031,2379,142.98113511496092
2240,N/A,860,BURRARD ST,Italian Kitchen,Food & Beverage,49.282678361394666,-123.1230968580031,2379,142.98113511496092
2241,101,888,BURRARD ST,Spence Diamonds Ltd,Comparison Goods,49.28222274385909,-123.12378574369022,2316,87.47173325767668
2243,103,888,BURRARD ST,The Ballyhoo Public House,Food & Beverage,49.28222274385909,-123.12378574369022,2316,87.47173325767668
2246,N/A,900,BURRARD ST,Famous Players Limited Partnership,Entertainment and Leisure,49.28157566920938,-123.12420172466877,2369,121.02464159982418
2251,N/A,1015,BURRARD ST,Beyond Coffee,Food & Beverage,49.28102800353913,-123.12730583075536,2215,127.67797156090982
2252,N/A,1015,BURRARD ST,Absolute Spa,Service Commercial,49.28102800353913,-123.12730583075536,2215,127.67797156090982
2256,102,1100,BURRARD ST,Elysian Coffee #4 Inc,Food & Beverage,49.279688629437324,-123.12761958163081,2189,97.84410402685477
2261,N/A,1200,BURRARD ST,TD Bank,Service Commercial,49.278586012016234,-123.12928611552073,2113,110.01956379375358
2262,N/A,1228,BURRARD ST,NNB Barber Shop,Service Commercial,49.27843990971352,-123.12950686018802,2077,106.08752450391205
2264,N/A,1237,BURRARD ST,Mink Lash Boutique,Service Commercial,49.278790450985134,-123.1302991091638,2077,94.01929845617215
2265,N/A,1242,BURRARD ST,Performance Vision Optometry,Service Commercial,49.27843990971352,-123.12950686018802,2077,106.08752450391205
2267,N/A,1253,BURRARD ST,Burrard Corner Store,Convenience Goods,49.27840772302635,-123.1308809125838,2046,88.08431550711902
2271,N/A,1310,BURRARD ST,BC Computer and Cell Phone Repair,Service Commercial,49.27736397555993,-123.13114764230289,2033,70.4964643855052
2273,N/A,1315,BURRARD ST,Bees Knees,Comparison Goods,49.278056215925616,-123.13131502099768,2046,80.95038434012696
2277,N/A,1344,BURRARD ST,Vacant,Vacant,49.27736397555993,-123.13114764230289,2033,70.4964643855052
2279,1,1348,BURRARD ST,Minuteman Press,Service Commercial,49.27736397555993,-123.13114764230289,2033,70.4964643855052
2283,N/A,1354,BURRARD ST,Burrard Dry Cleaner,Service Commercial,49.27736397555993,-123.13114764230289,2033,70.4964643855052
2284,N/A,1361,BURRARD ST,Osaka Sushi,Food & Beverage,49.27776643317156,-123.13204136889718,2033,110.73769459033278
2286,N/A,487,DAVIE ST,Sage Clinic,Service Commercial,49.27598491212113,-123.12353112288253,2330,103.01424699355603
2289,N/A,508,DAVIE ST,Nuba Restaurant Group Inc,Food & Beverage,49.27577554498922,-123.12494132258297,2330,106.8541643215097
2295,N/A,580,DAVIE ST,Vacant,Vacant,49.27614294595592,-123.1252108170835,2285,80.18636362287178
2297,N/A,594,DAVIE ST,Royal Vape Inc,Convenience Goods,49.27614294595592,-123.1252108170835,2285,80.18636362287178
2300,N/A,620,DAVIE ST,Manoush'eh,Food & Beverage,49.27661580200485,-123.12568082344094,2285,75.28939679048125
2307,N/A,700,DAVIE ST,Blenz Coffee,Food & Beverage,49.27722958008942,-123.1266680104921,2260,72.83054029821339
2308,N/A,708,DAVIE ST,Numero Uno Pizza,Food & Beverage,49.27722958008942,-123.1266680104921,2260,72.83054029821339
2309,N/A,712,DAVIE ST,BC Produce,Convenience Goods,49.27722958008942,-123.1266680104921,2260,72.83054029821339
2314,N/A,746,DAVIE ST,Body Energy Club Ltd,Convenience Goods,49.27735324868997,-123.12730553863715,2213,98.19415173919184
2321,N/A,809,DAVIE ST,Topdrawers Apparel Inc,Comparison Goods,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2323,N/A,819,DAVIE ST,Javan Exchange,Service Commercial,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2324,N/A,823,DAVIE ST,Ace High Barber Shop Ltd,Service Commercial,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2330,N/A,855,DAVIE ST,Breka Bakery and Cafe Inc,Food & Beverage,49.27849937630124,-123.12749330080725,2165,96.48674658358118
2332,N/A,903,DAVIE ST,Sushi Mugen,Food & Beverage,49.27885882652114,-123.1280489155382,2165,99.79793384226926
2333,N/A,904,DAVIE ST,7-Eleven Store,Convenience Goods,49.27836105661689,-123.12856559763067,2165,62.09816779145996
2339,N/A,937,DAVIE ST,Vacant,Vacant,49.27908390295987,-123.12876943452235,2113,57.529261025690865
2350,N/A,450,GRANVILLE ST,Trees Organic Coffee Co,Food & Beverage,49.28473749608962,-123.11441549633143,2703,63.28929812460103
2356,N/A,480,GRANVILLE ST,Vacant,Vacant,49.28473749608962,-123.11441549633143,2703,63.28929812460103
2358,N/A,524,GRANVILLE ST,Moore's,Comparison Goods,49.28405605203843,-123.1151700269459,2703,141.51493228163136
2362,N/A,541,GRANVILLE ST,Subway,Food & Beverage,49.28436310165463,-123.11594244835692,2703,173.49580560002272
2363,N/A,545,GRANVILLE ST,Smak Healthy Fast Food,Food & Beverage,49.28436310165463,-123.11594244835692,2703,173.49580560002272
2367,N/A,574,GRANVILLE ST,Vacant,Vacant,49.28373930928332,-123.11564843483815,2661,105.69581623170004
2368,N/A,586,GRANVILLE ST,Shoppers Drug Mart #2277,Convenience Goods,49.28351997406178,-123.11598007755025,2661,52.529068239226575
2369,N/A,609,GRANVILLE ST,Meinhardt - Pacific Centre,Convenience Goods,49.28340057698826,-123.11775140601347,2605,198.3423875601542
2371,N/A,610,GRANVILLE ST,Steve Nash Fitness World,Entertainment and Leisure,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2372,N/A,620,GRANVILLE ST,Vacant,Vacant,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2375,N/A,640,GRANVILLE ST,Judith & Charles,Comparison Goods,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2377,N/A,670,GRANVILLE ST,FYI Eye Care Services,Comparison Goods,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2378,N/A,672,GRANVILLE ST,Mego,Comparison Goods,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2379,N/A,674,GRANVILLE ST,Topshop,Comparison Goods,49.28253253952624,-123.11699539053087,2625,70.98146897982953
2382,R110,725,GRANVILLE ST,AllSaints,Comparison Goods,49.28224355654455,-123.11950088594357,2461,195.01251364327518
