stop_id,stop_code,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
11542,61522,Southbound Howe St @ Davie St,BUS ZN,49.277974,-123.127034,2213,46.434722490419034
11541,51114,Southbound West Blvd @ W 57 Ave,BUS ZN,49.219164,-123.150433,1272,70.47845747851535
271,50268,Eastbound University Blvd @ Allison Rd,BUS ZN,49.266827,-123.241849,3,2953.9184612163367
273,50270,Eastbound University Blvd @ 5300 Block,BUS ZN,49.265327,-123.235217,3,2228.5477504540445
274,50271,Eastbound University Blvd @ 5100 Block,BUS ZN,49.263486,-123.229095,7,1610.2926133637352
275,50272,Northbound Blanca St @ W 10 Ave,BUS ZN,49.264289,-123.215067,14,84.47166231150806
276,50273,Blanca Loop @ Bay 1,BUS ZN,49.265243,-123.21585,15,139.6074037357024
277,50274,Eastbound W 10 Ave @ Blanca St,BUS ZN,49.263836,-123.214641,14,82.61375441464808
278,50275,Eastbound W 10 Ave @ Tolmie St,BUS ZN,49.26381,-123.211737,35,57.76757622122297
279,50276,Eastbound W 10 Ave @ Sasamat St,BUS ZN,49.263764,-123.208525,58,82.22896250498913
2146,52126,Eastbound SW Marine Dr @ Heather St,BUS ZN,49.207179,-123.123861,2314,53.56511738282942
12011,61896,Southbound Lower Mall @ University Blvd,BUS ZN,49.263228,-123.256272,3,5193.216502067859
12013,61833,Northbound East Mall @ Eagles Dr,BUS ZN,49.25836,-123.244207,7,4080.388569037062
12012,61893,Westbound Ross Dr @ Birney Ave,BUS ZN,49.251694,-123.237733,8,3567.0967762101445
98,50098,Southbound Burrard St @ Davie St,BUS ZN,49.278914,-123.12964,2113,77.51370426101035
91,50091,Westbound W Pender St @ Carrall St,BUS ZN,49.280707,-123.104998,3036,28.771471687505286
93,50093,Westbound W Pender St @ Abbott St,BUS ZN,49.28129,-123.108213,2913,35.26130548451276
95,50095,Westbound W Pender St @ Seymour St,BUS ZN,49.283818,-123.113429,2727,73.63178722539367
97,50097,Westbound W Pender St @ Howe St,BUS ZN,49.285523,-123.116055,2663,60.917873999763884
96,50096,Westbound W Pender St @ Granville St,BUS ZN,49.284575,-123.114596,2703,38.39112143635806
1179,51170,Westbound Kingsway @ Smith Ave,BUS ZN,49.23266,-123.019689,6523,578.0236503657314
1178,51169,Westbound Kingsway @ Inman Ave,BUS ZN,49.232908,-123.016178,6523,1090.7362215672226
873,50866,Southbound Granville St @ SW Marine Dr,BUS ZN,49.205733,-123.140764,1627,26.827521962026776
870,50863,Southbound Granville St @ W 65 Ave,BUS ZN,49.211828,-123.140547,1639,96.59430576969476
8019,57944,Waterfront Station Eastbound,WCE1Z,49.286053,-123.11158,2796,170.966344348019
8013,57938,Eastbound University Blvd @ Acadia Rd,BUS ZN,49.266503,-123.237822,3,2433.3413356530305
393,50389,Eastbound W 4th Ave @ Collingwood St,BUS ZN,49.268471,-123.181214,483,70.08133816058994
392,50388,Eastbound W 41 Ave @ Granville St,BUS ZN,49.234268,-123.140768,1590,95.86625608408937
390,50386,Eastbound W 41 Ave @ Adera St,BUS ZN,49.2343,-123.142893,1534,61.53744487158215
397,50393,Eastbound W 4th Ave @ Macdonald St,BUS ZN,49.268274,-123.167779,786,77.6980785481912
398,50394,Eastbound W 4th Ave @ Trafalgar St,BUS ZN,49.268236,-123.164123,897,57.65429064043889
11281,61372,King Edward Station @ Platform 1,ZN 1,49.249172,-123.115228,2674,47.76670270032038
11280,61371,King Edward Station @ Platform 2,ZN 1,49.249186,-123.115716,2674,64.99393307225401
11283,61374,Oakridge-41st Avenue Station @ Platform 1,ZN 1,49.233731,-123.116176,2641,42.95253336816292
11282,61373,Oakridge-41st Avenue Station @ Platform 2,ZN 1,49.233747,-123.116422,2641,58.57541917417087
11285,61376,Langara-49th Avenue Station @ Platform 1,ZN 1,49.225709,-123.116289,2627,92.91823605219228
11284,61375,Langara-49th Avenue Station @ Platform 2,ZN 1,49.225743,-123.116752,2627,90.5506925658037
11287,61378,Marine Drive Station @ Platform 1,ZN 1,49.209663,-123.116921,2607,108.91787079513007
11286,61377,Marine Drive Station @ Platform 2,ZN 1,49.209661,-123.117078,2607,106.40765115412692
11759,61579,Southbound Wesbrook Mall @ Birney Ave,BUS ZN,49.254064,-123.23498,8,3000.3659168081163
11758,61581,Southbound Wesbrook Mall @ Triumf Centre,BUS ZN,49.247646,-123.232002,8,3392.7651442657416
179,50179,Northbound Main St @ E 2nd Ave,BUS ZN,49.269455,-123.100505,3242,69.93441672767659
178,50178,Northbound Main St @ E 5th Ave,BUS ZN,49.266719,-123.100662,3237,72.66138527096776
177,50177,Northbound Main St @ E 6th Ave,BUS ZN,49.265339,-123.100685,3236,42.06198113581429
176,50176,Northbound Main St @ E Broadway,BUS ZN,49.263233,-123.100792,3227,75.60429718068475
174,50174,Northbound Main St @ E 12 Ave,BUS ZN,49.260528,-123.100888,3215,78.03211651478745
173,59582,Northbound Main St @ E 14 Ave,BUS ZN,49.258782,-123.100989,3212,90.15883344806164
171,59835,Northbound Main St @ E 18 Ave,BUS ZN,49.255006,-123.100984,3221,48.32012878487606
170,59836,Northbound Main St @ E 20 Ave,BUS ZN,49.253226,-123.100763,3229,58.37669783098238
10399,59832,Southbound Howe St @ Dunsmuir St,BUS ZN,49.284576,-123.117067,2605,84.24498797760944
1985,51968,Eastbound W 49 Ave @ Alberta St,BUS ZN,49.225896,-123.112498,2750,66.85526472948392
12667,60402,Westbound E 41 Ave @ Victoria Dr,BUS ZN,49.232733,-123.066544,4685,55.932011494511215
12664,60399,Eastbound E 41 Ave @ Main St,BUS ZN,49.232982,-123.102441,3193,137.69771527294517
1760,51746,Northbound Cassiar Connector @ 100 Block,BUS ZN,49.283253,-123.031278,6254,89.76261682180807
692,50685,Southbound Nanaimo St @ E 17 Ave,BUS ZN,49.254756,-123.056762,5176,78.09075392139417
693,50686,Southbound Nanaimo St @ E 20 Ave,BUS ZN,49.252026,-123.056768,5173,76.03165121110524
1544,51532,Eastbound E 22 Ave @ Boyd Diversion,BUS ZN,49.250553,-123.043474,5760,80.05006637531943
1545,51533,Eastbound E 22 Ave @ Lillooet St,BUS ZN,49.250535,-123.038654,5907,59.44090993122603
1542,51530,Eastbound E 22 Ave @ Slocan St,BUS ZN,49.250567,-123.049111,5501,73.67023406332004
