id,name,area,latitude,longitude
1,Waterfront,Downtown,49.286075484422376,-123.11173815504947
2,VCC - Clark,Strathcona,49.2657831984991,-123.07896225243121
3,Olympic Village,Fairview,49.26634023249435,-123.11519667899394
4,Broadway - City Hall,Mount Pleasant,49.262773467883484,-123.11478218139136
5,King Edward,Riley Park,49.24912287838039,-123.11533610484715
6,Burrard,Downtown,49.28586014917365,-123.11997233644202
7,Marine Drive,Marpole,49.20954787392407,-123.11707077626738
8,Granville,Downtown,49.28363768680059,-123.11640402719512
9,Stadium - Chinatown,Downtown,49.279441691877636,-123.10956479630316
10,Main Street - Science World,Downtown,49.27317791187965,-123.10060690768856
11,29th Avenue,Renfrew-Collingwood,49.24424259217731,-123.04594067398634
12,Joyce - Collingwood,Renfrew-Collingwood,49.23839380523484,-123.03180671710777
13,Rupert,Renfrew-Collingwood,49.26076477791514,-123.03282383181416
14,Renfrew,Renfrew-Collingwood,49.25889291082948,-123.04530845874768
15,Commercial - Broadway,Grandview-Woodland,49.26293626736842,-123.06845389883729
16,Waterfront,Downtown,49.28566576739238,-123.1133392689008
17,Vancouver City Center,Downtown,49.28173470745285,-123.11928408921445
18,Commercial - Broadway,Kensington-Cedar Cottage,49.26181784640944,-123.0690994031622
19,Yaletown - Roundhouse,Downtown,49.2743622548375,-123.1218903777964
20,Oakridge - 41st Avenue,Oakridge,49.23346681076931,-123.11604067532821
21,Langara - 49th Avenue,Oakridge,49.22638691960162,-123.11632486084643
22,Nanaimo,Renfrew-Collingwood,49.248272210616825,-123.05587151633279
