id,address,category,name,latitude,longitude
1,688 W Hastings St,Independent School,Alexander Academy,49.2850005993,-123.114009854
2,5025 Willow St,Public School,BC Children's Adol. Psych. Unit,49.2396309611,-123.12579096
3,1001 Cotton Drive,Public School,Britannia Community Secondary,49.2752359909,-123.071923098
4,3340 E 54th Av,Public School,Captain James Cook Elementary,49.2193807991,-123.03582905
5,3340 E 54th Av,StrongStart BC,Captain James Cook StrongStart Centre,49.2193807991,-123.03582905
6,2684 E 2nd Av,StrongStart BC,Chief Maquinna StrongStart Centre,49.2678863131,-123.05058984
7,3575 Kaslo St,Independent School,Children's Hearing and Speech Centre BC,49.2523579685,-123.048349437
8,3417 Euclid Av,Public School,Collingwood Neighbourhood School,49.2363485991,-123.032313
9,1755 E 55th Av,Public School,David Thompson Secondary,49.2204392561,-123.0706316
10,555 Lillooet St,Public School,Dr A R Lord Elementary,49.2796404842,-123.039517203
11,6350 Tisdall St,Public School,Dr Annie B Jamieson Elementary,49.2269069351,-123.12100426
12,3050 Crown St,Public School,Ecole Jules Quesnel Elementary,49.2595678051,-123.19253813
13,150 Drake St,Public School,Elsie Roy Elementary,49.2722379991,-123.122482
14,4070 Oak St,Public School,Emily Carr Elementary,49.2500416521,-123.12609641
15,4196 W 4th Av,Independent School,Family Montessori School,49.2676679823,-123.198246023
16,2294 W 10th Av,Independent School,Fraser Academy,49.2626607042,-123.157275961
17,2330 E 37th Av,Public School,G T Cunningham Elementary,49.2367322261,-123.05745595
18,3633 Tanner St,Public School,Graham Bruce Community Elementary,49.2420690871,-123.02567271
19,1551 Cypress St,Public School,Henry Hudson Elementary,49.2722458781,-123.14935629
20,451 E 53rd Av,Public School,John Henderson Elementary,49.2225695881,-123.09527169
21,4710 Slocan St,Public School,John Norquay Elementary,49.2414246951,-123.0516408
22,5718 Willow St,Independent School,King David High School,49.2334481823,-123.12279094
23,1755 Barclay St,Public School,King George Secondary,49.2898241521,-123.13644517
24,4195 Alexandra St,Independent School,Little Flower Academy,49.2484313418,-123.142261499
25,3663 Penticton St,Public School,Lord Beaconsfield Elementary,49.2521383751,-123.05269627
26,3455 W King Edward Av,Public School,Lord Kitchener Elementary,49.2505818064,-123.180245563
27,1150 Nelson St,Public School,Lord Roberts Annex,49.2830917101,-123.12980601
28,4444 Dumfries St,Public School,Lord Selkirk Annex,49.2453207741,-123.07246012
29,2678 W Broadway,Independent School,Madrona School,49.2635282608,-123.166010555
30,2300 Guelph St,StrongStart BC,Mount Pleasant StrongStart Centre,49.2639657321,-123.09399954
31,2550 Camosun St,Independent School,Our Lady of Perpetual Help,49.2641350707,-123.196179431
32,1819 Larch St,Independent School,Pacific Rim Montessori Academy,49.2697857983,-123.162443645
33,1580 W Broadway,Public School,Peak House,49.2632998823,-123.14026052
34,4102 W 16th Av,Public School,Queen Elizabeth Elementary,49.2577917721,-123.20112784
35,1850 E 3rd Av,Public School,Queen Victoria Annex,49.2671878491,-123.06634874
36,3315 E 22nd Av,Public School,Renfrew Community Elementary,49.2514577741,-123.03205805
37,4250 Marguerite St,Public School,Shaughnessy Elementary,49.2486760751,-123.14380998
38,960 E 39th Av,Public School,Sir Alexander Mackenzie Elementary,49.2345364351,-123.08671432
39,419 E 24th Av,Public School,Sir Charles Tupper Secondary,49.2497535011,-123.09480948
40,3250 Kingsway,Public School,Sir Guy Carleton Community Elementary,49.2343477461,-123.03760798
41,1300 E 29th Av,Public School,Sir Richard McBride Elementary,49.2441566091,-123.07817551
42,1950 E Hastings St,Public School,Sir William Macdonald Community,49.2807239091,-123.06467911
43,7055 Heather St,Public School,Sir Winston Churchill Secondary,49.2210595681,-123.12561546
44,5855 Ontario St,Public School,Sir Wm Van Horne Elementary,49.2315664861,-123.10656921
45,1370 W 73rd Av,Independent School,St Anthony of Padua,49.2044649382,-123.13700792
46,2215 W 10th Av,Independent School,St John's School,49.2631776715,-123.156179143
47,5239 Joyce St,Independent School,St Mary's,49.2375016311,-123.033705909
48,115 E 11th Av,Independent School,St Patrick Regional Secondary,49.2614045445,-123.102604392
49,2850 Quebec St,Independent School,St Patrick's Elementary,49.2597623028,-123.102436697
50,3155 E 27th Av,Public School,Sunny Hill Hospital Program,49.2465124561,-123.0371743
51,2325 Cassiar St,Public School,Thunderbird Elementary,49.2636488904,-123.031870586
52,3525 Dumphries St,Public School,Tyee Elementary,49.2535693541,-123.07382164
53,3496 Mons Drive,Independent School,Vancouver Christian,49.2547122159,-123.028566931
54,5400 Cartier St,Independent School,Vancouver College,49.2349594188,-123.136171334
55,1545 W 62nd Av,Independent School,Vancouver Hebrew Academy,49.2154717276,-123.141369265
56,8650 Barnard St,Independent School,Vancouver Montessori School,49.2077903959,-123.144633599
57,1000 E 59th Av,Public School,Walter Moberly Elementary,49.2161092301,-123.08434542
58,3075 Slocan St,Independent School,Westside Montessori Academy,49.2569378476,-123.050391949
59,4176 Alexandra St,Independent School,York House School,49.248848219,-123.140340136
60,1351 Hornby St,Independent School,Anchor Point Montessori,49.2770618474,-123.130918922
61,5025 Willow St,Public School,BCCH Eating Disorders School Program,49.2396309611,-123.12579096
62,3020 Heather St,Independent School,Blessed Sacrament School,49.2583379075,-123.11939091
63,1788 W Broadway,Independent School,Century High School,49.2633847581,-123.145314403
64,3877 Glen Drive,Public School,Charles Dickens Annex,49.2502130611,-123.08271031
65,2882 E 4th Av,Public School,Chief Maquinna Annex,49.2664215431,-123.04511809
66,3200 W 41st Av,Independent School,Crofton House,49.2336778336,-123.177218159
67,55 Expo Blvd,Public School,Crosstown Elementary,49.2786309991,-123.106594
68,6100 Battison St,Public School,Dr H N MacCorkindale Elementary,49.2279901855,-123.029355035
69,2740 Guelph St,Public School,Florence Nightingale Elementary,49.2600593241,-123.09371757
70,4860 Main St,Public School,General Brock Elementary,49.2412152211,-123.10063141
71,2055 Woodland Dr,Public School,Grandview Elementary,49.2661931691,-123.0743697
72,2500 Lakewood Drive,Public School,Laura Secord Elementary,49.2617357031,-123.06022338
73,1100 Bidwell St,Public School,Lord Roberts Elementary,49.2867852821,-123.13784476
74,1750 E 22nd Av,Public School,Lord Selkirk Elementary,49.2496919521,-123.06900705
75,592 E Pender St,Public School,Lord Strathcona Community Elementary,49.2798115147,-123.091476792
76,6199 Cypress St,Public School,Maple Grove Elementary,49.2294086991,-123.15151486
77,2300 Guelph St,Public School,Mount Pleasant Elementary,49.2639657321,-123.09399954
78,4102 W 16th Av,Public School,Norma Rose Point School,49.2577917721,-123.20112784
79,2250 Eddington Drive,Public School,Prince of Wales Secondary,49.2449830531,-123.15953565
80,1300 E Broadway,Public School,Queen Alexandra Elementary,49.2619705491,-123.07592057
81,100 W 15th Av,Public School,Simon Fraser Elementary,49.2571713554,-123.108196899
82,960 E 39th Av,StrongStart BC,Sir Alexander Mackenzie StrongStart,49.2345364351,-123.08671432
83,6901 Elliott St,Public School,Sir Charles Kingsford-Smith,49.2215966731,-123.0557042
84,7668 Borden St,Public School,Sir James Douglas Annex,49.2148304641,-123.07329351
85,4750 St. Catherines St,Public School,Sir Richard McBride Annex,49.2419442292,-123.084950189
86,1401 E 49th Av,Public School,Sir Sandford Fleming Elementary,49.2257476891,-123.07657409
87,3323 Wellington Av,StrongStart BC,Sir Wilfred Grenfell StrongStart Centre,49.2428916207,-123.034807375
88,428 Great Northern Way,Independent School,St Francis Xavier,49.2664623111,-123.094520644
89,1885 W Broadway,Independent School,St John's International,49.2640409804,-123.147898816
90,3000 Commercial Drive,Independent School,Stratford Hall,49.2574692155,-123.069463272
91,1551 E 37th Av,Public School,Tecumseh Annex,49.2371162721,-123.07309884
92,1850 E 41st Av,Public School,Tecumseh Elementary,49.2320557421,-123.06800394
93,788 Beatty St,Independent School,The Westside School,49.2775706443,-123.113443543
94,1130 Keefer St,Public School,Admiral Seymour Elementary,49.2785942691,-123.0803143
95,1110 Cotton Drive,Public School,Britannia Community Elementary,49.2745120086,-123.071378795
96,7835 Champlain Crescent,Public School,Champlain Heights Annex,49.2140784318,-123.030549689
97,7835 Champlain Crescent,StrongStart BC,Champlain Heights Annex StrongStart Cntr,49.2140784318,-123.030549689
98,315 E 23rd Av,Public School,David Livingstone Elementary,49.2507533361,-123.09798144
99,2900 E 44th Av,Public School,Dr George M Weir Elementary,49.2295787591,-123.04440254
100,500 W 20th Av,Public School,Edith Cavell Elementary,49.2529071091,-123.11722884
