id,store_id,year_recorded,unit,civic_number,street_name,name,category,latitude,longitude
1,1984,2020,N/A,3504,W 4TH AV,Forerunners Enterprises,Comparison Goods,49.26829910736703,-123.18198147633284
2,1985,2020,N/A,3510,W 4TH AV,Double DD Pizza,Food & Beverage,49.268302509426235,-123.1821886290571
3,1992,2020,N/A,3570,W 4TH AV,Restore Human,Service Commercial,49.268321296539,-123.1833630398489
4,1998,2020,N/A,3598,W 4TH AV,Aphrodites Organic Pie Shop,Convenience Goods,49.268321296539,-123.1833630398489
5,2001,2020,N/A,3611,W 4TH AV,Vacant,Vacant,49.268860945244235,-123.18403436841272
6,2002,2020,N/A,3615,W 4TH AV,Trulton Realty,Service Commercial,49.268860945244235,-123.18403436841272
7,2007,2020,N/A,3629,W 4TH AV,Happy 3 Consignment Ltd,Comparison Goods,49.26886863466641,-123.18451808756963
8,2008,2020,N/A,3630,W 4TH AV,Rugs & More,Comparison Goods,49.268352380423636,-123.18439961731059
9,2012,2020,N/A,3642,W 4TH AV,Kestrel Books,Comparison Goods,49.2683571852624,-123.18467640301425
10,2014,2020,N/A,3659,W 4TH AV,Vacant,Vacant,49.268877426184055,-123.18507120127674
11,2017,2020,N/A,3662,W 4TH AV,Heritage Home Supplies,Comparison Goods,49.268361627201976,-123.18495301971518
12,2020,2020,N/A,3669,W 4TH AV,Okanagan Wine Cellars,Convenience Goods,49.268877426184055,-123.18507120127674
13,2023,2020,N/A,3680,W 4TH AV,Rebecca Bree,Convenience Goods,49.26835530754138,-123.18535470629834
14,2025,2020,N/A,3686,W 4TH AV,Beyond Bread Artisan Bakery,Convenience Goods,49.26835530754138,-123.18535470629834
15,2026,2020,N/A,3687,W 4TH AV,Lufficio Restaurant,Food & Beverage,49.268881828076594,-123.1853475211078
16,2030,2020,N/A,3698,W 4TH AV,Blenz Coffee,Food & Beverage,49.26835530754138,-123.18535470629834
17,2031,2020,N/A,3750,W 4TH AV,Breka Downtown Bakery Café,Food & Beverage,49.26819526630278,-123.18637769134192
18,2037,2020,N/A,3288,DUNBAR ST,Preventum Skin,Service Commercial,49.25758668797599,-123.1846858158127
19,2040,2020,N/A,3308,DUNBAR ST,Gold Star Shoe Rebuilders,Service Commercial,49.25721201260662,-123.18472586352902
